fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",12.4875,9.74418,2.774999999999999,0,0,0,0
"[0.08738067739882623, 0.0, 0.035890425364109545]",19.14360902255639,9.617856766917292,2.8481203007518787,0,0,0,0
"[0.0, 0.12370572413261777, 0.0]",12.175,9.664635555555554,2.705555555555554,0,0,0,0
"[0.046992481203007516, 0.06660693382078746, 0.016588674483411326]",15.922650375939849,9.643043893065999,2.7714494569757715,0,0,0,0
"[0.00047021943573667284, 0.141564801176475, 0.0020979020979023026]",12.2125,9.671388888888888,2.713888888888888,0,0,0,0
"[0.00047021943573667284, 0.1415648011764797, 0.0020979020979020793]",12.2125,9.67138888888889,2.7138888888888872,0,0,0,0
"[0.0009404388714733457, 0.22093455917394778, 0.00419580419580427]",12.25,9.701402222222223,2.722222222222221,0,0,0,0
"[0.002821316614420059, 0.2493186796483852, 0.012587412587412701]",12.4,9.712135555555555,2.7555555555555546,0,0,0,0
"[0.003761755485893405, 0.26356362955108453, 0.01678321678321697]",12.475,9.717522222222222,2.7722222222222217,0,0,0,0
"[0.003761755485893405, 0.3000046090670278, 0.01678321678321697]",12.475,9.731302222222222,2.7722222222222217,0,0,0,0
"[0.0043887147335423165, 0.31955027877675213, 0.01958041958041974]",12.525,9.738693333333332,2.7833333333333328,0,0,0,0
"[0.05106771631272538, 0.2597394239516854, 0.03477049266522946]",16.24765037593985,9.716076115288223,2.843671679197994,0,0,0,0
"[0.003918495297805644, 0.3340596770068571, 0.017482517482517553]",12.4875,9.74418,2.774999999999999,0,0,0,0
"[0.003918495297805644, 0.3340596770068571, 0.017482517482517553]",12.4875,9.74418,2.774999999999999,0,0,0,0
"[0.08009404388714736, 0.2138590972585809, 0.06888111888111854]",18.5625,9.698726666666667,2.979166666666665,0,0,0,0
"[0.005329153605015662, 0.3346414633271422, 0.0237762237762239]",12.6,9.7444,2.7999999999999994,0,0,0,0
"[0.005642633228840118, 0.3842931059541675, 0.025174825174825284]",12.625,9.763175555555556,2.805555555555555,0,0,0,0
"[0.003448275862068949, 0.40627170027599313, 0.015384615384615472]",12.45,9.771486666666668,2.7666666666666657,0,0,0,0
"[0.003918495297805644, 0.41786335196043467, 0.017482517482517553]",12.4875,9.775870000000003,2.774999999999999,0,0,0,0
"[0.006269592476489031, 0.4094979698702928, 0.02797202797202828]",12.675,9.772706666666668,2.816666666666667,0,0,0,0
"[0.005956112852664574, 0.42955490634632787, 0.026573426573426786]",12.65,9.780291111111111,2.811111111111111,0,0,0,0
"[0.005015673981191206, 0.43649226746849873, 0.022377622377622402]",12.575,9.782914444444446,2.7944444444444434,0,0,0,0
"[0.006583072100313465, 0.42947851016285815, 0.02937062937062933]",12.7,9.780262222222223,2.822222222222221,0,0,0,0
"[0.04728474791995663, 0.4051980003000716, 0.05007098164992894]",15.94595864661654,9.771080651629072,2.904448621553884,0,0,0,0
"[0.054045772739057675, 0.4415682172435389, 0.04805720595194296]",16.48515037593985,9.784833893066002,2.896449456975773,0,0,0,0
"[0.1, 0.3534114179431547, 0.1]",20.15,9.751497777777777,3.1027777777777783,0,0,0,0
"[0.007210031347962376, 0.5217474699080292, 0.03216783216783222]",12.75,9.815153333333335,2.8333333333333326,0,0,0,0
"[0.0846394984326019, 0.4401622225898827, 0.08916083916083921]",18.925,9.784302222222223,3.0597222222222227,0,0,0,0
"[0.05921818653216115, 0.5005842689753223, 0.07113412902886594]",16.89765037593985,9.807150559732666,2.9881161236424396,0,0,0,0
"[0.05671034954156554, 0.5444180483995162, 0.05994531784005474]",16.69765037593985,9.823726115288222,2.943671679197995,0,0,0,0
"[0.08479623824451413, 0.515312560607926, 0.08986013986013969]",18.9375,9.812720000000002,3.0624999999999996,0,0,0,0
"[0.009090909090909089, 0.6418951599908225, 0.04055944055944053]",12.9,9.860586666666666,2.866666666666666,0,0,0,0
"[0.012852664576802494, 0.8, 0.05734265734265728]",13.2,9.920373333333334,2.9333333333333327,0,0,0,0
