fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.02263467527973237, 7.579043366488721e-05, 0.0]",47.87481203007519,8.863805689223055,3.0974937343358384,0,0,0,0
"[0.09954868607161478, 0.0, 0.06533986994513312]",58.58327067669174,8.820127451963238,3.4630534670008344,0,0,0,0
"[0.06542190873222663, 0.1693754391642388, 0.05002794147530992]",51.689661654135335,8.85493290726817,3.337155388471177,0,0,0,0
"[0.09334381746445328, 0.14090328169987412, 0.06255588295061974]",57.329887218045116,8.849082080200498,3.440162907268169,0,0,0,0
"[0.04653651455371104, 0.2726042068394825, 0.020879902458849804]",47.87481203007519,8.876145689223055,3.0974937343358384,0,0,0,0
"[0.07783164594654957, 0.21604732959946196, 0.05559591546433659]",54.19642857142857,8.86452365079365,3.3829365079365075,0,0,0,0
"[0.08403651455371108, 0.218993278941974, 0.0583799024588499]",55.44981203007519,8.865129022556388,3.4058270676691724,0,0,0,0
"[0.07783164594654957, 0.23113300673854878, 0.05559591546433659]",54.19642857142857,8.86762365079365,3.3829365079365075,0,0,0,0
"[0.06542190873222659, 0.29648443492971355, 0.05002794147530992]",51.68966165413533,8.88105290726817,3.337155388471177,0,0,0,0
"[0.04060243430358076, 0.34212353763743447, 0.03889199349725664]",46.676127819548874,8.890431420217208,3.245593149540517,0,0,0,0
"[0.0966267773393881, 0.28539367536430943, 0.07781192846982321]",57.99304511278195,8.878773834586463,3.5656015037593973,0,0,0,0
"[0.06542190873222663, 0.34602385211548264, 0.05002794147530987]",51.689661654135335,8.891232907268169,3.3371553884711767,0,0,0,0
"[0.06227434303580736, 0.35541004846883806, 0.04516993497256657]",51.053853383458645,8.893161704260649,3.2972117794486206,0,0,0,0
"[0.06542190873222663, 0.3545886236525085, 0.05002794147530992]",51.689661654135335,8.892992907268168,3.337155388471177,0,0,0,0
"[0.06542190873222663, 0.3592603172181661, 0.05002794147530992]",51.689661654135335,8.893952907268169,3.337155388471177,0,0,0,0
"[0.09667190873222664, 0.3034162765398498, 0.08127794147530996]",58.002161654135335,8.882477351712613,3.5940998329156217,0,0,0,0
"[0.06542190873222663, 0.38028293826360343, 0.05002794147530992]",51.689661654135335,8.898272907268169,3.337155388471177,0,0,0,0
"[0.09042190873222662, 0.3474134646691531, 0.07502794147530994]",56.73966165413533,8.891518462823724,3.542710944026733,0,0,0,0
"[0.03722921164296885, 0.46325282092903175, 0.01670392196707984]",45.99473684210527,8.915322631578945,3.063157894736841,0,0,0,0
"[0.06542190873222663, 0.40889706135322457, 0.05002794147530992]",51.689661654135335,8.904152907268168,3.337155388471177,0,0,0,0
"[0.08115973721432294, 0.368973619934912, 0.07431797398902669]",54.86870300751879,8.895948922305763,3.5368734335839593,0,0,0,0
"[0.06852434303580737, 0.41540670564995824, 0.05141993497256652]",52.31635338345865,8.905490593149539,3.348600668337509,0,0,0,0
"[0.1, 0.3384796312918594, 0.1]",58.674436090225555,8.889682623224727,3.748036758563073,0,0,0,0
"[0.06542190873222663, 0.4577551898940197, 0.05002794147530992]",51.689661654135335,8.91419290726817,3.337155388471177,0,0,0,0
"[0.06542190873222663, 0.46038301752468636, 0.05002794147530992]",51.689661654135335,8.914732907268167,3.337155388471177,0,0,0,0
"[0.0853360195042061, 0.44651124405256254, 0.06547449705344448]",55.71231203007519,8.911882355889723,3.4641604010025056,0,0,0,0
"[0.04990973721432288, 0.5067669519107233, 0.043067973989026655]",48.55620300751878,8.92426447786132,3.2799289891395147,0,0,0,0
"[0.018614605821484387, 0.5773875733223482, 0.00835196098353992]",42.23458646616541,8.938776516290725,2.994486215538846,0,0,0,0
"[0.0, 0.6843201314686298, 0.0]",38.474436090225566,8.960750401002507,2.925814536340851,0,0,0,0
"[0.03439756569641925, 0.6411831119245097, 0.036108006502743394]",45.42274436090225,8.951886048454467,3.2227025898078523,0,0,0,0
"[0.0293451760589593, 0.7010022714195177, 0.02029821174558018]",44.40216165413534,8.964178462823726,3.0927109440267326,0,0,0,0
"[0.051271123352936765, 0.7109642985622013, 0.05050040642145912]",48.83120300751879,8.96622558897243,3.341040100250626,0,0,0,0
"[0.0668451760589593, 0.8, 0.05779821174558017]",51.97716165413534,8.98452179615706,3.4010442773600658,0,0,0,0
