fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.02541492334532429, 0.5690490081044074, 0.02742168596437099]",22.141259398496235,9.42783843776107,2.74734753550543,0,0,0,0
"[0.0700622192030384, 0.20843304224125447, 0.05695935302619418]",27.57706766917293,9.312159640768588,2.9372911445279875,0,0,0,0
"[0.018008831112689323, 0.2866171923101332, 0.016138618684941267]",21.239567669172928,9.337239640768587,2.6747911445279864,0,0,0,0
"[0.07170492967531765, 0.3103232140659116, 0.06387080011042708]",27.77706766917293,9.344844085213031,2.9817355889724295,0,0,0,0
"[0.06954887218045112, 0.2407014961683144, 0.05479952581237116]",27.51456766917293,9.322510751879697,2.9234022556390977,0,0,0,0
"[0.06729014528106712, 0.06537599891346445, 0.045296286071550375]",27.239567669172928,9.266269640768588,2.8622911445279864,0,0,0,0
"[0.0064681724845995995, 0.6517649113951167, 0.0272138228941684]",19.834492481203004,9.454372138680032,2.746010860484544,0,0,0,0
"[0.015442095999752978, 0.07013175108627243, 0.005339482615826822]",20.927067669172928,9.267795196324144,2.605346700083542,0,0,0,0
"[0.03560698460730882, 0.4383293300888924, 0.030549375598824226]",23.382142857142853,9.38590603174603,2.767460317460317,0,0,0,0
"[0.025722931558876658, 0.4946784655681241, 0.02871758229266479]",22.178759398496236,9.403981771094402,2.755680868838764,0,0,0,0
"[0.017906161708171872, 0.43856572567987406, 0.01570665324217669]",21.22706766917293,9.38598186299081,2.6720133667502086,0,0,0,0
"[0.04837967608960798, 0.23420521406975278, 0.024657756702771955]",24.937218045112775,9.32042686716792,2.729573934837092,0,0,0,0
"[0.041178922666007915, 0.14665878811580052, 0.014238620308871526]",24.060526315789467,9.292343625730995,2.6625730994152046,0,0,0,0
"[0.02840623118370878, 0.29336057382119535, 0.02013023920492359]",22.505451127819548,9.339402790309107,2.7004594820384282,0,0,0,0
"[0.06674900804372325, 0.8, 0.08277334805696752]",27.17368421052631,9.501923157894733,3.1032894736842103,0,0,0,0
"[0.004312114989733076, 0.48902674363478377, 0.01814254859611227]",19.571992481203004,9.4021688053467,2.687677527151211,0,0,0,0
"[0.015442095999752978, 0.07013175108627243, 0.005339482615826822]",20.927067669172928,9.267795196324144,2.605346700083542,0,0,0,0
"[0.0, 0.059866004952599555, 0.0]",19.046992481203002,9.264502138680035,2.5710108604845447,0,0,0,0
"[0.030884191999505956, 0.0, 0.010678965231653645]",22.807142857142853,9.245298253968256,2.6396825396825396,0,0,0,0
"[0.03283491068533758, 0.2392216082029499, 0.018886308644180554]",23.044642857142854,9.32203603174603,2.6924603174603168,0,0,0,0
"[0.015442095999752978, 0.07013175108627243, 0.005339482615826822]",20.927067669172928,9.267795196324144,2.605346700083542,0,0,0,0
"[0.09569637646477588, 0.235431674085817, 0.06542652527647418]",30.69802631578947,9.32082029239766,2.991739766081871,0,0,0,0
"[0.1, 0.5403043511848317, 0.1]",31.221992481203007,9.418617694235587,3.2140664160400996,0,0,0,0
"[0.015442095999752978, 0.10872504366413427, 0.005339482615826822]",20.927067669172928,9.280175196324144,2.605346700083542,0,0,0,0
"[0.002464065708418896, 0.37387034397192154, 0.010367170626349868]",19.346992481203003,9.365228805346698,2.637677527151211,0,0,0,0
"[0.06965154158496858, 0.17416945848787335, 0.05523149125513574]",27.52706766917293,9.301168529657478,2.9261800334168755,0,0,0,0
"[0.015442095999752978, 0.03858376070760467, 0.005339482615826822]",20.927067669172928,9.257675196324145,2.605346700083542,0,0,0,0
"[0.002053388090349075, 0.24109722504403508, 0.008639308855291556]",19.296992481203002,9.322637694235588,2.6265664160401,0,0,0,0
"[0.020267558012073323, 0.44186669568766473, 0.02564185842576205]",21.51456766917293,9.387040751879702,2.7359022556390977,0,0,0,0
"[0.017598153494619528, 0.2089595348343088, 0.014410756913882886]",21.18956766917293,9.312328529657476,2.663680033416875,0,0,0,0
"[0.07211560729338748, 0.49066770979009955, 0.06559866188148573]",27.82706766917293,9.402695196324142,2.992846700083543,0,0,0,0
"[0.06361643328032605, 0.1527088432609857, 0.02913330843306955]",26.792293233082702,9.294284369256474,2.7583542188805334,0,0,0,0
"[0.0, 0.0, 0.0]",20.927067669172928,9.267795196324144,2.605346700083542,0,0,0,0
