fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.033734774148138934, 0.27546532118973727, 0.04113551080809676]",52.50347744360901,9.346984193817878,3.7033103592314114,0,0,0,0
"[0.1, 0.0, 0.1]",90.10930451127817,8.980065605680869,4.633782372598163,0,0,0,0
"[0.06388639092452283, 0.20121485924442545, 0.06700029068231059]",69.61466165413532,9.248082907268167,4.1121553884711775,0,0,0,0
"[0.036156502297851195, 0.25182612103233676, 0.03284842238782295]",53.87781954887217,9.315496883876358,3.572316207184627,0,0,0,0
"[0.04843108516540387, 0.2474966393286675, 0.05661434385074776]",60.843703007518776,9.309730033416873,3.9479845446950703,0,0,0,0
"[0.02395694116672876, 0.23829747854159647, 0.01441784260874155]",46.954511278195476,9.29747679197995,3.2809837092731824,0,0,0,0
"[0.02570711712830703, 0.07085475546361028, 0.0172328365308388]",47.94774436090224,9.074443826232246,3.325480367585632,0,0,0,0
"[0.017980043886887762, 0.47419568267334855, 0.033097484276729476]",43.562593984962405,9.611692155388472,3.5762531328320795,0,0,0,0
"[0.08114602740860352, 0.1799545684526721, 0.0984805242851857]",79.40958646616541,9.219764294068506,4.609763993316625,0,0,0,0
"[0.036819111497536555, 0.16119713971166652, 0.0314359706146609]",54.25385338345865,9.19477948203843,3.549989557226399,0,0,0,0
"[0.022881795222125613, 0.30683415634997896, 0.02536203160509481]",46.34436090225563,9.3887673433584,3.453978696741854,0,0,0,0
"[0.05851132364509586, 0.19195994076011194, 0.07292162147878009]",66.5642857142857,9.235755396825397,4.205753968253967,0,0,0,0
"[0.06105990974206106, 0.14754149636474093, 0.062009803921568574]",68.01062030075188,9.176590225563908,4.033270676691729,0,0,0,0
"[0.026146482838570767, 0.2627217771815781, 0.022125548332540577]",48.1970864661654,9.330009849624059,3.402819548872181,0,0,0,0
"[0.0, 0.5776639996006, 0.0271147138100523]",33.358834586466166,9.749511495405178,3.481683375104428,0,0,0,0
"[0.022862749968947955, 0.14490495382365862, 0.017123830664341186]",46.33355263157894,9.1730783625731,3.3237573099415205,0,0,0,0
"[0.01661325715232061, 0.24780722663659988, 0.009082500924898275]",42.78693609022555,9.31014373433584,3.196647869674186,0,0,0,0
"[0.04690597441311639, 0.23456026400422672, 0.04080981449183448]",59.978195488721795,9.292498838763573,3.698162071846283,0,0,0,0
"[0.026264894630066656, 0.8, 0.062114185296760105]",48.264285714285705,10.045662063492065,4.034920634920634,0,0,0,0
"[0.001285306173146183, 0.3138502872587624, 0.0]",34.08825187969924,9.398112798663323,3.0530806182121975,0,0,0,0
"[0.017306173146193028, 0.3690316292907163, 0.017960202949104172]",43.18016917293233,9.471614101921471,3.336977861319967,0,0,0,0
"[0.009591023889371912, 0.2195367758390664, 0.0015749696104856532]",38.80178571428571,9.272487619047618,3.07797619047619,0,0,0,0
"[0.035372500310520444, 0.43930151222526703, 0.04582804820041219]",53.4328947368421,9.565213274853802,3.777485380116959,0,0,0,0
"[0.03627193309319755, 0.32759970890593265, 0.05190396913482376]",53.94332706766917,9.416426967418545,3.8735275689223068,0,0,0,0
"[0.021780482755765326, 0.20298329395276157, 0.016575498123777763]",45.71936090225563,9.250438454469508,3.3150898078529654,0,0,0,0
"[0.05669755309899393, 0.2486482897910036, 0.05758879023307428]",65.53496240601503,9.3112640267335,3.9633876357560562,0,0,0,0
"[0.05569974744338178, 0.09091954227007508, 0.05661434385074779]",64.96870300751878,9.101170033416878,3.9479845446950708,0,0,0,0
"[0.027180391669771882, 0.46766446811578444, 0.055495216954706376]",48.78383458646616,9.60299260651629,3.930294486215539,0,0,0,0
"[0.04848639920506772, 0.31481243681395504, 0.05901775804661483]",60.875093984962405,9.399394377610696,3.9859753550543022,0,0,0,0
"[0.0077133275369519255, 0.7184131296644924, 0.050184319010622994]",37.73618421052631,9.936988713450292,3.8463450292397647,0,0,0,0
"[0.02432774396555295, 0.4854156868040594, 0.04527178796046716]",47.16494360902256,9.626637151211362,3.768692564745196,0,0,0,0
"[0.025168384879725076, 0.31581108288660614, 0.024083029438190358]",47.642011278195476,9.400724569757726,3.433761487050961,0,0,0,0
