fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.03555427244997344, 0.15400937745987434, 0.011234425960252516]",27.41898496240601,9.301462055137844,2.769799498746867,0,0,0,0
"[0.03555427244997344, 0.15400937745987434, 0.011234425960252516]",27.41898496240601,9.301462055137844,2.769799498746867,0,0,0,0
"[0.1, 0.33076595283684707, 0.1]",37.804135338345866,9.358847059314952,3.164860066833751,0,0,0,0
"[0.039355181122017496, 0.6282076730894243, 0.04181702996316197]",28.03148496240601,9.455413166248952,2.905910609857978,0,0,0,0
"[0.07444403618357742, 0.05062860786588541, 0.036950655810788595]",33.6859022556391,9.267898913951546,2.8842522974101916,0,0,0,0
"[0.055231863010982235, 0.16051400275904573, 0.02596494521222949]",30.58994360902256,9.303573817878027,2.8353592314118634,0,0,0,0
"[0.03757108113309885, 0.40726924261610986, 0.027461930125061564]",27.74398496240601,9.383684277360066,2.842021720969089,0,0,0,0
"[0.060749800243790036, 0.26681441445428733, 0.04164339848424405]",31.47913533834586,9.33808483709273,2.905137844611528,0,0,0,0
"[0.0, 0.6190794588030765, 0.012355991459208423]",21.68956766917293,9.452449640768588,2.7747911445279865,0,0,0,0
"[0.01641966884211384, 0.28387834468611756, 0.0008728501372627925]",24.33552631578947,9.343624736842106,2.7236842105263155,0,0,0,0
"[0.03555427244997344, 0.15400937745987434, 0.011234425960252516]",27.41898496240601,9.301462055137844,2.769799498746867,0,0,0,0
"[0.01641966884211384, 0.316682342085065, 0.0008728501372627925]",24.33552631578947,9.354274736842104,2.7236842105263155,0,0,0,0
"[0.08385094978974565, 0.10751568335260203, 0.055200732067857264]",35.20178571428571,9.286367619047617,2.965476190476191,0,0,0,0
"[0.0372608028741565, 0.40369280262842494, 0.024965391022783247]",27.693984962406013,9.382523166248953,2.8309106098579777,0,0,0,0
"[0.041925474894872826, 0.43023004652189906, 0.03377836176353264]",28.44567669172932,9.391138629908102,2.870133667502088,0,0,0,0
"[0.07519232002986138, 0.17927033779390356, 0.07271170135385627]",33.80648496240602,9.309663166248955,3.043410609857978,0,0,0,0
"[0.017815921007354515, 0.3762839711620389, 0.012107276097515109]",24.56052631578947,9.373624736842105,2.773684210526315,0,0,0,0
"[0.03555427244997344, 0.15400937745987434, 0.011234425960252516]",27.41898496240601,9.301462055137844,2.769799498746867,0,0,0,0
"[0.07472690264144781, 0.12793387864061032, 0.06896689270043879]",33.731484962406014,9.292996499582287,3.0267439431913115,0,0,0,0
"[0.03415802028473279, 0.0, 1.995634939123018e-16]",27.193984962406013,9.251462055137843,2.7197994987468674,0,0,0,0
"[0.03586455070891582, 0.2370238543413523, 0.013730965062530832]",27.46898496240601,9.328413166248954,2.780910609857978,0,0,0,0
"[0.057066120763564446, 0.35750167197315225, 0.07046387761327107]",30.88552631578947,9.367526959064326,3.0334064327485377,0,0,0,0
"[0.03415802028473281, 0.03868715561791617, 1.995634939123018e-16]",27.193984962406017,9.264022055137842,2.7197994987468674,0,0,0,0
"[0.059653328200910995, 0.5755179385542528, 0.06154062741969547]",31.302443609022554,9.438307151211362,2.993692564745196,0,0,0,0
"[0.03757108113309885, 0.341353229063285, 0.027461930125061564]",27.74398496240601,9.362284277360066,2.842021720969089,0,0,0,0
"[0.03555427244997344, 0.15400937745987434, 0.011234425960252516]",27.41898496240601,9.301462055137844,2.769799498746867,0,0,0,0
"[0.036097259403122604, 0.30245730517813996, 0.015603369389239667]",27.506484962406013,9.349656499582288,2.7892439431913116,0,0,0,0
"[0.03415802028473281, 0.034929326807900764, 0.0]",27.193984962406017,9.262802055137843,2.7197994987468666,0,0,0,0
"[0.04098414198146494, 0.8, 0.05492386025012293]",28.29398496240601,9.511186499582287,2.96424394319131,0,0,0,0
"[0.03757108113309885, 0.372586330812152, 0.027461930125061564]",27.74398496240601,9.372424277360068,2.842021720969089,0,0,0,0
"[0.03757108113309885, 0.4195283890619166, 0.027461930125061762]",27.74398496240601,9.387664277360066,2.8420217209690897,0,0,0,0
"[0.07472690264144781, 0.11234812964167583, 0.06896689270043879]",33.731484962406014,9.287936499582289,3.0267439431913115,0,0,0,0
"[0.0, 0.0, 0.0]",27.193984962406017,9.251462055137843,2.7197994987468674,0,0,0,0
