fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.027591671188763774, 0.6719483776067188, 0.026300685058322455]",35.851785714285704,9.523722063492064,3.1099206349206345,0,0,0,0
"[0.08637587671362004, 0.21290055980749997, 0.058449052644571765]",57.53768796992481,9.189774310776942,3.327506265664159,0,0,0,0
"[0.034009482391845446, 0.6868579317771277, 0.047380114793556465]",38.21936090225564,9.534568454469508,3.252589807852964,0,0,0,0
"[0.02865124313087077, 0.3278405531994395, 0.0013639449484662343]",36.24266917293233,9.273390768588136,2.9411445279866326,0,0,0,0
"[0.09292463765900585, 0.5072714455512372, 0.1]",59.95357142857143,9.403923015873016,3.6087301587301592,0,0,0,0
"[0.023376312363540916, 0.6822568019243234, 0.03189841387397398]",34.29671052631578,9.531221228070173,3.14780701754386,0,0,0,0
"[0.028511121811284592, 0.5316952969759104, 0.018552119977781847]",36.190977443609015,9.421690860484544,3.0574770258980783,0,0,0,0
"[0.03774588107011924, 0.6428060205091001, 0.054866382768623045]",39.59774436090225,9.502521604010024,3.3032581453634084,0,0,0,0
"[0.03714514275814803, 0.30610581500237116, 0.009819169289637605]",39.37612781954886,9.257579197994989,2.998370927318295,0,0,0,0
"[0.04970969410242104, 0.5465945501864637, 0.04869468616922786]",44.01127819548872,9.43252975772765,3.261487050960735,0,0,0,0
"[0.030040482323058594, 0.36247919011602736, 0.01819107572671717]",36.75516917293232,9.298589657477025,3.0550334168755215,0,0,0,0
"[0.1, 0.0, 0.07238782941430574]",62.56372180451128,9.03489357560568,3.421846282372597,0,0,0,0
"[0.011387787025784864, 0.6383815458017095, 0.0]",29.874060150375936,9.499302890559731,2.9319131161236425,0,0,0,0
"[0.038500498067599614, 0.3362662790083568, 0.02623588224402883]",39.87612781954887,9.279520309106097,3.1094820384294066,0,0,0,0
"[0.04206747733219198, 0.5291298756530879, 0.0316700610997962]",41.19201127819549,9.419824569757727,3.14626148705096,0,0,0,0
"[0.06193540661933114, 0.6980666163475686, 0.08346602481022028]",48.52142857142857,9.54272253968254,3.496825396825397,0,0,0,0
"[0.05565771673583563, 0.43003630700770856, 0.04519842004567052]",46.20554511278195,9.34773605680869,3.2378237259816207,0,0,0,0
"[0.024435884305647887, 0.49578921709705104, 0.006961673764117622]",34.6875939849624,9.39556993316625,2.979030910609857,0,0,0,0
"[0.06972233049778734, 0.5424111661715812, 0.0644726285255816]",51.39407894736841,9.42948643274854,3.3682748538011693,0,0,0,0
"[0.040538116820417976, 0.4205648557748638, 0.03203110535086094]",40.62781954887218,9.340845772765247,3.1487050960735172,0,0,0,0
"[0.08409189920436566, 0.5624534922643953, 0.08744059742023073]",56.69511278195488,9.444066808688387,3.5237259816207183,0,0,0,0
"[0.045605158502689015, 0.25249693271550855, 0.017863975806949196]",42.4970864661654,9.218579849624058,3.0528195488721797,0,0,0,0
"[0.03782282041287382, 0.3239696316334524, 0.018027525766833346]",39.62612781954886,9.270574753550541,3.0539264828738517,0,0,0,0
"[0.030350023056326215, 0.17278139883216093, 0.0030549898167005086]",36.869360902255636,9.160588454469504,2.952589807852965,0,0,0,0
"[0.022868054122496595, 0.6738350265392504, 0.025742146516077247]",34.109210526315785,9.525094561403506,3.106140350877193,0,0,0,0
"[0.039453832572856694, 0.24633460454584843, 0.01889773498734787]",40.22781954887217,9.214096883876357,3.0598162071846273,0,0,0,0
"[0.06255907387450735, 0.25492872865498806, 0.034364006665432226]",48.751503759398496,9.220348930659982,3.164494569757727,0,0,0,0
"[0.06853180881337624, 0.48848382689730485, 0.06893785101524358]",50.954887218045116,9.390255413533833,3.3984962406015007,0,0,0,0
"[0.05059526084220554, 0.5925491532420064, 0.04053570326482735]",44.33796992481202,9.465960776942355,3.2062656641604,0,0,0,0
"[0.0, 0.8, 0.013148799605011335]",25.67302631578947,9.616876959064328,3.0209064327485375,0,0,0,0
"[0.02956152217610954, 0.6307374526923457, 0.03127507251743501]",36.57847744360901,9.493741971595655,3.1435881370091896,0,0,0,0
"[0.005672365782883287, 0.7498065117712926, 0.025199037215330435]",27.765601503759395,9.58036223893066,3.1024644945697575,0,0,0,0
