fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.02874012503384864, 0.108479207540215, 0.0]",64.55150375939849,8.180660041771095,6.675605680868839,0,0,0,0
"[0.0002087821954311414, 0.46924716320859255, 0.0018992546903112033]",57.71870300751879,8.36884558897243,6.691040100250628,0,0,0,0
"[0.03129770692787989, 0.3664636562377374, 0.016748907735800535]",65.16400375939848,8.315231152882207,6.81171679197995,0,0,0,0
"[0.1, 0.8, 0.08917501927525064]",81.61710526315787,8.541374502923977,7.40029239766082,0,0,0,0
"[0.06301297824662201, 0.30354276608182224, 0.035700334104343374]",72.75930451127817,8.282410050125314,6.965726817042607,0,0,0,0
"[0.03140209802559548, 0.3698292079406147, 0.017432536622976176]",65.18900375939849,8.316986708437764,6.817272347535506,0,0,0,0
"[0.060599032223883645, 0.08722722358800421, 0.058982266769467884]",72.18120300751879,8.16957447786132,7.154928989139515,0,0,0,0
"[0.035107981994497876, 0.76506000304299, 0.04170136211770765]",66.07650375939848,8.523148930659982,7.014494569757729,0,0,0,0
"[0.02874012503384864, 0.08718037749144955, 0.0]",64.55150375939849,8.169550041771096,6.675605680868839,0,0,0,0
"[0.0, 0.43552348310738, 0.0005319969159600341]",57.668703007518786,8.351254477861323,6.679928989139516,0,0,0,0
"[0.06351491890067545, 0.6188482426707888, 0.09380621948085323]",72.87951127819548,8.446881236424396,7.437928153717628,0,0,0,0
"[0.031558684672168796, 0.36203305652762086, 0.018457979953739417]",65.22650375939848,8.312920041771095,6.825605680868839,0,0,0,0
"[0.0002609777442889045, 0.49886188809788107, 0.0022410691338989133]",57.731203007518786,8.384293366750207,6.693817878028406,0,0,0,0
"[0.03134990247673768, 0.3665744212304876, 0.017090722179388354]",65.17650375939849,8.315288930659984,6.814494569757728,0,0,0,0
"[0.060142223059444055, 0.009715191748676891, 0.01690053970701625]",72.07180451127817,8.129142272347536,6.812949039264829,0,0,0,0
"[0.05752538155731114, 0.016256892782495588, 0.015492161398098182]",71.44511278195488,8.132554586466167,6.801503759398496,0,0,0,0
"[0.02874012503384864, 0.0862793468773253, 0.0]",64.55150375939849,8.169080041771096,6.675605680868839,0,0,0,0
"[0.031558684672168796, 0.35106732224508647, 0.018457979953739417]",65.22650375939848,8.307200041771095,6.825605680868839,0,0,0,0
"[0.05752538155731114, 0.004792716032575126, 0.015492161398098182]",71.44511278195488,8.126574586466168,6.801503759398496,0,0,0,0
"[0.02874012503384864, 0.11994338429013547, 0.0]",64.55150375939849,8.186640041771094,6.675605680868839,0,0,0,0
"[0.031245511379022095, 0.336350488881056, 0.016407093292212824]",65.15150375939848,8.299523375104428,6.808939014202172,0,0,0,0
"[0.02874012503384864, 0.0862793468773253, 0.0]",64.55150375939849,8.169080041771096,6.675605680868839,0,0,0,0
"[0.03458602650592007, 0.6769741425562769, 0.03828321768183]",65.95150375939848,8.477201152882207,6.986716791979951,0,0,0,0
"[0.02874012503384864, 0.0968616638772545, 0.0]",64.55150375939849,8.174600041771097,6.675605680868839,0,0,0,0
"[0.02874012503384864, 0.09822279523050567, 0.0]",64.55150375939849,8.175310041771096,6.675605680868839,0,0,0,0
"[0.031663075769884384, 0.43406864354524344, 0.019141608840914943]",65.25150375939849,8.350495597326649,6.8311612364243945,0,0,0,0
"[0.05752538155731109, 0.0, 0.015492161398098293]",71.44511278195486,8.124074586466168,6.801503759398497,0,0,0,0
"[0.060142223059444055, 0.006360290525871237, 0.016900539707016358]",72.07180451127817,8.127392272347535,6.81294903926483,0,0,0,0
"[0.06686249808681735, 0.6964453342088608, 0.1]",73.68120300751879,8.487357811194654,7.48826232247285,0,0,0,0
"[0.031558684672168796, 0.3548056407504973, 0.018457979953739417]",65.22650375939848,8.309150041771096,6.825605680868839,0,0,0,0
"[0.0030273418337512983, 0.7340734803046196, 0.020357234644050398]",58.39370300751879,8.506985588972432,6.841040100250627,0,0,0,0
"[0.03140209802559548, 0.3507925398592178, 0.017432536622976176]",65.18900375939849,8.307056708437761,6.817272347535506,0,0,0,0
"[0.0, 0.07192842347809998, 0.0]",64.55150375939849,8.169080041771096,6.675605680868839,0,0,0,0
