fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.014852221415104172, 0.47767245036376327, 0.018248678708636525]",96.54689849624057,8.33389776106934,7.52253550543024,0,0,0,0
"[0.06885925853881918, 0.0737330892445395, 0.051399825950374615]",146.64812030075186,7.703496892230578,8.174937343358398,0,0,0,0
"[0.07092450136821704, 0.18368056317163814, 0.06004393691762351]",148.56400375939847,7.875084486215539,8.345050125313284,0,0,0,0
"[0.07640608236048592, 0.3367919264463948, 0.07849531976312263]",153.6491541353383,8.114035045948205,8.708166248955724,0,0,0,0
"[0.058048672257056615, 0.21245135756647826, 0.04857045825992817]",136.6193609022556,7.919985121136174,8.119256474519633,0,0,0,0
"[0.06413042487166316, 0.1355132987623978, 0.04732876276187033]",142.2612781954887,7.799913091060985,8.094820384294069,0,0,0,0
"[0.02172714479798917, 0.5351222763418988, 0.031810752870757596]",102.92462406015036,8.423555822890561,7.789431913116126,0,0,0,0
"[0.015277933966937877, 0.7994090018852429, 0.04219323753528743]",96.94182330827066,8.836010258980787,7.993755221386801,0,0,0,0
"[0.03114438868913563, 0.4975184628695911, 0.039529429244582144]",111.66080827067668,8.364870091896407,7.941332497911446,0,0,0,0
"[0.009199828580286137, 0.710284636148771, 0.030483093838218775]",91.3032894736842,8.696919883040938,7.763304093567253,0,0,0,0
"[0.045929237698963885, 0.2622612844349918, 0.038525460064101125]",125.37640977443607,7.997720108604845,7.921574770258981,0,0,0,0
"[0.0013296172132949557, 0.39047530173441247, 0.0]",84.00225563909773,8.197815062656641,7.163408521303259,0,0,0,0
"[0.01721207921373871, 0.6880294189154244, 0.036474009296797]",98.7360902255639,8.662187669172935,7.881203007518797,0,0,0,0
"[0.06309906985555967, 0.34831401558509045, 0.06250504107146633]",141.3045112781955,8.13201679197995,8.393483709273182,0,0,0,0
"[0.05604897821895726, 0.23282290514760684, 0.04710801689554889]",134.76428571428568,7.951777619047619,8.09047619047619,0,0,0,0
"[0.03120629025247937, 0.8, 0.05966293804257844]",111.71823308270676,8.836932589807851,8.337552213868005,0,0,0,0
"[0.020672488047730062, 0.5950311550991862, 0.03375289198310432]",101.94624060150375,8.517051562238931,7.827652464494569,0,0,0,0
"[0.06090890946871034, 0.41750058994489286, 0.06554241928979268]",139.27274436090224,8.239991604010026,8.453258145363412,0,0,0,0
"[0.03508005158801317, 0.2988834199703279, 0.02879672277290752]",115.31184210526312,8.054873801169588,7.7301169590643255,0,0,0,0
"[0.062435173055900864, 0.43643937540530686, 0.06854053021459047]",140.68862781954886,8.26954808688388,8.512259816207187,0,0,0,0
"[0.022323669192371994, 0.44818945300181073, 0.025069513722327175]",103.47800751879694,8.287885639097745,7.656766917293234,0,0,0,0
"[0.07500473633074688, 0.1758130289086959, 0.0638157196527496]",152.34915413533835,7.862806157059313,8.419277360066832,0,0,0,0
"[0.0, 0.6594263906221972, 0.01854689788381119]",82.76879699248119,8.617548855472014,7.5284043441938175,0,0,0,0
"[0.09520561754154545, 0.0, 0.07408146371489803]",171.08909774436086,7.588426641604013,8.621303258145362,0,0,0,0
"[0.06481833258869096, 0.7776202054623526, 0.1]",142.89943609022555,8.80200595655806,9.131370091896411,0,0,0,0
"[0.059255904710090984, 0.6325589974000141, 0.08070171714813307]",137.7392857142857,8.57561873015873,8.751587301587302,0,0,0,0
"[0.009490087138354553, 0.4097388650235148, 0.007543565470252169]",91.57255639097743,8.227878404344198,7.311862990810356,0,0,0,0
"[0.07276503443084502, 0.6865530825743114, 0.09880924585570834]",150.27142857142854,8.659883650793649,9.107936507936506,0,0,0,0
"[0.1, 0.08429524473167715, 0.08533419650627203]",175.53674812030073,7.719980534670009,8.842752715121136,0,0,0,0
"[0.015216032403594135, 0.5043539411871963, 0.022059728737291177]",96.88439849624058,8.375537761069342,7.597535505430243,0,0,0,0
"[0.040940741663804604, 0.4462192879868007, 0.044724386050559214]",120.74868421052629,8.284810935672516,8.043567251461988,0,0,0,0
"[0.04525369003222729, 0.24582712267980478, 0.03794387960860072]",124.74971804511274,7.9720724227234765,7.910129490392652,0,0,0,0
