fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.025872416325674122, 0.5163708533487344, 0.04366837959392368]",68.80827067669172,8.560559674185463,7.110275689223056,0,0,0,0
"[0.04218130311614729, 0.2492552362439384, 0.03475306983717101]",74.6518796992481,8.2926008855472,7.002840434419381,0,0,0,0
"[0.044165879760780624, 0.2691966255139853, 0.06362037141346825]",75.36296992481202,8.312605221386798,7.350710108604843,0,0,0,0
"[0.04161368167033888, 0.4857666309252662, 0.0522162621211991]",74.44849624060149,8.529858847117792,7.213283208020049,0,0,0,0
"[0.029256373937677035, 0.8, 0.06602771302546868]",70.02077067669171,8.845084118629908,7.379720133667501,0,0,0,0
"[0.07668371629419787, 0.4143563039117737, 0.09157343778434462]",87.0143796992481,8.458223107769424,7.687562656641604,0,0,0,0
"[0.04560486832441508, 0.380133129057509, 0.04676724698215742]",75.87857142857142,8.423891904761902,7.147619047619047,0,0,0,0
"[0.02098835379288637, 0.12786830342991945, 0.011397176703033913]",67.05827067669172,8.170830785296575,6.721386800334166,0,0,0,0
"[0.038478648620291676, 0.0913404652486139, 0.020894823955562185]",73.3251879699248,8.134187644110273,6.835839598997492,0,0,0,0
"[0.09323287168188017, 0.04640443135876415, 0.1]",92.9440789473684,8.089109766081869,7.789108187134501,0,0,0,0
"[0.02573287168188019, 0.5127511680600011, 0.042746345225612624]",68.75827067669172,8.55692856307435,7.099164578111946,0,0,0,0
"[0.04630259154338476, 0.41580608012673115, 0.05137741882371314]",76.12857142857142,8.45967746031746,7.203174603174603,0,0,0,0
"[0.023011751127898425, 0.29676627476047507, 0.024766675043545516]",67.78327067669171,8.340261896407686,6.882497911445279,0,0,0,0
"[0.04025784282866437, 0.2404364985155378, 0.03265076215152906]",73.9626879699248,8.283754310776944,6.977506265664157,0,0,0,0
"[0.06707297240583364, 0.37533161040930574, 0.08769552068078046]",83.57077067669172,8.419075229741019,7.640831244778614,0,0,0,0
"[0.07695729724058337, 0.02201837528851187, 0.04178964791112437]",87.11240601503758,8.064646733500416,7.087635756056808,0,0,0,0
"[0.005312139334802205, 0.2981085124010306, 0.013885976238550474]",61.44135338345863,8.34160837092732,6.751378446115286,0,0,0,0
"[0.056243311299968526, 0.22732151437514272, 0.04281220482334921]",79.69041353383457,8.270597928153716,7.099958228905598,0,0,0,0
"[0.041976707585772724, 0.0928909428065392, 0.0227943534060679]",74.57857142857141,8.135743015873016,6.8587301587301575,0,0,0,0
"[0.03868324415066624, 0.24794400349090207, 0.03285354038666537]",73.39849624060149,8.29128551378446,6.979949874686716,0,0,0,0
"[0.022941978806001476, 0.291985809122111, 0.024305657859389804]",67.75827067669172,8.335466340852129,6.876942355889722,0,0,0,0
"[0.02280243416220751, 0.2651593777594735, 0.023383623491078896]",67.70827067669171,8.30855522974102,6.865831244778613,0,0,0,0
"[0.02098835379288637, 0.12941342612813908, 0.011397176703033913]",67.05827067669172,8.172380785296575,6.721386800334166,0,0,0,0
"[0.022907092645052987, 0.29970366930935016, 0.024075149267312204]",67.74577067669172,8.343208563074354,6.874164578111946,0,0,0,0
"[0.044000104920784815, 0.23369758663010445, 0.03616385174657943]",75.30357142857142,8.276994126984125,7.01984126984127,0,0,0,0
"[0.022872206484104495, 0.27135537516007535, 0.023844640675234386]",67.73327067669172,8.314770785296574,6.871386800334168,0,0,0,0
"[0.019513692162417377, 0.29876459514169035, 0.022867145593039952]",66.5298872180451,8.342266524644947,6.859607351712615,0,0,0,0
"[0.08425873465533523, 0.05011264255518214, 0.07396726084733583]",89.72857142857141,8.092829682539682,7.475396825396825,0,0,0,0
"[0.02098835379288637, 0.1374380956253454, 0.01139717670303406]",67.05827067669172,8.180430785296576,6.721386800334168,0,0,0,0
"[0.0, 0.17005291380047916, 0.0]",59.537969924812025,8.213148554720133,6.584043441938175,0,0,0,0
"[0.1, 0.0, 0.08251514337461102]",95.36879699248118,8.042558855472013,7.578404344193815,0,0,0,0
"[0.038478648620291676, 0.08195010665685602, 0.02089482395556226]",73.3251879699248,8.124767644110277,6.8358395989974925,0,0,0,0
"[0.0, 0.06546522444225682, 0.0]",67.05827067669172,8.174150785296574,6.721386800334166,0,0,0,0
