fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",31.0125,9.344616666666669,6.891666666666667,0,0,0,0
"[0.0, 0.03863947117029262, 0.0]",30.325,9.180498888888891,6.738888888888889,0,0,0,0
"[0.04614261872779397, 0.0, 0.013932165837791818]",37.7828007518797,9.135932230576444,6.8623433583959885,0,0,0,0
"[0.046606655850763824, 0.010357807826012663, 0.015813043580738623]",37.8578007518797,9.147878897243114,6.879010025062656,0,0,0,0
"[0.046606655850763824, 0.012031125552365265, 0.015813043580738623]",37.8578007518797,9.14980889724311,6.879010025062656,0,0,0,0
"[0.04683867441224875, 0.01485177857640941, 0.016753482452212327]",37.8953007518797,9.15306223057644,6.887343358395992,0,0,0,0
"[0.0019334880123743237, 0.10829842614599264, 0.007836990595611316]",30.6375,9.260843333333334,6.808333333333334,0,0,0,0
"[0.09088265908390465, 0.011951255434203424, 0.036604049308223356]",45.01390977443609,9.149716775271518,7.0632414369256455,0,0,0,0
"[0.09404485692188709, 0.005604691969259364, 0.07084639498432595]",45.525,9.14239666666667,7.366666666666665,0,0,0,0
"[0.09396751740139214, 0.009906958501156228, 0.07053291536050153]",45.5125,9.147358888888892,7.363888888888888,0,0,0,0
"[0.004098994586233575, 0.16922954082187727, 0.016614420062695735]",30.9875,9.331121111111113,6.886111111111109,0,0,0,0
"[0.004021655065738606, 0.17060133382264317, 0.016300940438871533]",30.975,9.332703333333335,6.883333333333334,0,0,0,0
"[0.004253673627223511, 0.1809302415152102, 0.017241379310344834]",31.0125,9.344616666666669,6.891666666666667,0,0,0,0
"[0.004253673627223511, 0.1809302415152102, 0.017241379310344834]",31.0125,9.344616666666669,6.891666666666667,0,0,0,0
"[0.00448569218870844, 0.18815527487598804, 0.01818181818181824]",31.05,9.352950000000003,6.9,0,0,0,0
"[0.04690554692996992, 0.14886370370221455, 0.03144931293751626]",37.906109022556386,9.30763121136174,7.017564745196324,0,0,0,0
"[0.006032482598607898, 0.22008317896614962, 0.02445141065830705]",31.3,9.389775555555557,6.955555555555554,0,0,0,0
"[0.005877803557617939, 0.23150547504064894, 0.02382445141065835]",31.275,9.402950000000004,6.95,0,0,0,0
"[0.006341840680587795, 0.23896748949565794, 0.02570532915360485]",31.35,9.41155666666667,6.966666666666665,0,0,0,0
"[0.006496519721577732, 0.24860472066115263, 0.026332288401253852]",31.375,9.422672222222225,6.972222222222221,0,0,0,0
"[0.0068058778035576285, 0.2632840617746864, 0.027586206896551658]",31.425,9.439603333333334,6.9833333333333325,0,0,0,0
"[0.09775715390564581, 0.12486398263558372, 0.08589341692789967]",46.125,9.279950000000003,7.499999999999999,0,0,0,0
"[0.008275328692962118, 0.2958641455428831, 0.03354231974921647]",31.6625,9.477181111111113,7.036111111111112,0,0,0,0
"[0.1, 0.18424990351004117, 0.09498432601880868]",46.4875,9.348445555555557,7.580555555555554,0,0,0,0
"[0.009203402938901786, 0.33294879677707895, 0.037304075235109674]",31.8125,9.519954444444448,7.069444444444444,0,0,0,0
"[0.09984532095901007, 0.18564096326643592, 0.0943573667711599]",46.4625,9.350050000000001,7.574999999999999,0,0,0,0
"[0.009822119102861578, 0.35646387202195284, 0.03981191222570518]",31.9125,9.547076666666669,7.091666666666665,0,0,0,0
"[0.009822119102861578, 0.3603914001568702, 0.039811912225705286]",31.9125,9.551606666666668,7.091666666666666,0,0,0,0
"[0.010131477184841451, 0.36396441998821955, 0.041065830721003185]",31.9625,9.55572777777778,7.102777777777778,0,0,0,0
"[0.011446249033255983, 0.4098655385981251, 0.04639498432601869]",32.175,9.608670000000002,7.149999999999999,0,0,0,0
"[0.05704749111758517, 0.35586757317838313, 0.05813279279703981]",39.5453007518797,9.546388897243109,7.254010025062658,0,0,0,0
"[0.011910286156225837, 0.4345462525585383, 0.0482758620689655]",32.25,9.637136666666668,7.166666666666666,0,0,0,0
"[0.024671307037896373, 0.8, 0.1]",34.3125,10.05865,7.624999999999999,0,0,0,0
