fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.031211316770589283, 0.3527579345668743, 0.029643944969406606]",132.79191729323304,8.365150192147034,8.71028613199666,0,0,0,0
"[0.058167439066883354, 0.6305031382966941, 0.06839286385783575]",157.00375939849621,9.008892882205513,10.216791979949871,0,0,0,0
"[0.007575451589916739, 0.8, 0.05478589961912633]",111.56231203007519,9.401743467000838,9.687771512113615,0,0,0,0
"[0.006906398487358233, 0.4216498576394077, 0.02674199977437664]",110.96137218045112,8.524824135338346,8.597462406015035,0,0,0,0
"[0.0, 0.25417298169785896, 0.0]",104.75808270676688,8.136655363408522,7.557769423558898,0,0,0,0
"[0.08010346570344229, 0.1880785622688378, 0.05335560915600776]",176.7065789473684,7.98346532163743,9.632163742690059,0,0,0,0
"[0.06380374581841816, 0.15222226417912813, 0.0501737836487582]",162.06625939849624,7.9003595488721805,9.508458646616539,0,0,0,0
"[0.046926426132624065, 0.16950622248370037, 0.033579459685953814]",146.90714285714284,7.940419365079366,8.863293650793649,0,0,0,0
"[0.07073661762997831, 0.13651239841355686, 0.05084716171280305]",168.29332706766917,7.863948078529657,9.534638680033417,0,0,0,0
"[0.04143671672182819, 0.2729802096675142, 0.04315555651057469]",141.9763157894737,8.180245730994153,9.235599415204677,0,0,0,0
"[0.044865273800093995, 0.24551823194682823, 0.030020252375759428]",145.05582706766916,8.116595856307434,8.724916457811194,0,0,0,0
"[0.013274750203781825, 0.23017748081980446, 0.012494695166826886]",116.68139097744358,8.08103989974937,8.043546365914786,0,0,0,0
"[0.01014629389156821, 0.27193711163163575, 0.03329877357629017]",113.87142857142855,8.177828095238095,8.852380952380951,0,0,0,0
"[0.01967679524191701, 0.5330886145872447, 0.04106316914762742]",122.4316729323308,8.783110810359231,9.154250208855471,0,0,0,0
"[0.09153784900578543, 0.043857955888602376, 0.054923422382904236]",186.9768796992481,7.649198663324979,9.693118212197161,0,0,0,0
"[0.05761181317157752, 0.15099185321496242, 0.05478294502849834]",156.5046992481203,7.8975077694235605,9.68765664160401,0,0,0,0
"[0.09110234712701656, 0.21875844972518707, 0.1]",186.5857142857143,8.054573492063493,11.445634920634921,0,0,0,0
"[0.0936022451053126, 0.25818035449288, 0.0873105704508706]",188.83110902255638,8.14594343358396,10.95228696741855,0,0,0,0
"[0.08549785021958213, 0.22868894011856603, 0.06893059935213884]",181.5517857142857,8.077589841269841,10.237698412698412,0,0,0,0
"[0.04530862350224294, 0.28225083533002654, 0.045233439519529885]",145.45404135338345,8.201732681704259,9.31638471177945,0,0,0,0
"[0.05613893367961423, 0.1566873672407303, 0.047668559395329574]",155.18176691729323,7.910708521303259,9.411058897243107,0,0,0,0
"[0.0391386647608664, 0.18737595946591, 0.024995836713205877]",139.91221804511278,7.981836867167918,8.52957393483709,0,0,0,0
"[0.04474190601656, 0.1747938126593277, 0.026099242013204335]",144.94501879699249,7.952674653299919,8.572472848788639,0,0,0,0
"[0.034174550241242066, 0.1609051178980971, 0.014353401271011215]",135.45347744360896,7.920484193817879,8.115810359231414,0,0,0,0
"[0.0184913553609528, 0.6202352957587345, 0.029179537042508547]",121.36691729323306,8.985094636591477,8.692230576441105,0,0,0,0
"[0.08895371772321044, 0.07737494918106924, 0.06774446551455536]",184.65582706766915,7.726882522974103,10.19158312447786,0,0,0,0
"[0.07126137541998935, 0.04282142157282464, 0.04083781446245257]",168.7646616541353,7.646796240601504,9.145488721804513,0,0,0,0
"[0.0757590153179049, 0.14678910071208998, 0.06383151312644035]",172.80441729323306,7.887766858813702,10.039452798663325,0,0,0,0
"[0.05684262184268988, 0.11622874432984298, 0.051514899194739776]",155.81381578947367,7.816935730994153,9.56059941520468,0,0,0,0
"[0.06500404424498187, 0.12406128451020144, 0.042270790917051236]",163.1443609022556,7.835089565580618,9.201200918964078,0,0,0,0
"[0.1, 0.0, 0.062436677750858205]",194.5775375939849,7.54754708437761,9.985223475355056,0,0,0,0
"[0.056822322139546924, 0.08282255932035235, 0.0500488850449366]",155.79558270676694,7.739508696741853,9.50360275689223,0,0,0,0
