fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",26.95,8.449188888888887,5.988888888888887,0,0,0,0
"[0.0, 0.09548365179836203, 0.0]",27.6,8.57122333333333,6.133333333333333,0,0,0,0
"[5.5374904759324205e-05, 0.0962717616045585, 0.0002590673575128296]",27.6125,8.57241111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[5.5374904759324205e-05, 0.09931066583387266, 0.0002590673575128296]",27.6125,8.576991111111111,6.136111111111109,0,0,0,0
"[0.00016612471427797262, 0.10724337071194422, 0.0007772020725385715]",27.6375,8.588946666666665,6.141666666666663,0,0,0,0
"[0.030594010350527293, 0.07729157839329397, 0.012000857064942111]",34.50610902255639,8.543805655806182,6.262009189640767,0,0,0,0
"[0.1, 0.0, 0.03868674276364489]",50.1734022556391,8.427317802840433,6.548141186299079,0,0,0,0
"[0.0031009946665223284, 0.1962754498843941, 0.01450777202072533]",28.3,8.723128888888887,6.288888888888887,0,0,0,0
"[0.0032117444760409765, 0.20217779516820947, 0.015025906735750988]",28.325,8.732024444444443,6.29444444444444,0,0,0,0
"[0.033528880302771645, 0.18029730889092888, 0.025731427013128867]",35.16860902255639,8.699047878028404,6.409231411862991,0,0,0,0
"[0.004153117856949551, 0.23843379521410688, 0.019430051813471412]",28.5375,8.786666666666665,6.341666666666664,0,0,0,0
"[0.005814364999729371, 0.29371354216277096, 0.027202072538860356]",28.9125,8.869979999999996,6.425000000000001,0,0,0,0
"[0.006368114047322646, 0.3054961155234942, 0.029792746113989563]",29.0375,8.887737777777778,6.452777777777775,0,0,0,0
"[0.006368114047322646, 0.31373698681783435, 0.029792746113989563]",29.0375,8.900157777777778,6.452777777777775,0,0,0,0
"[0.006035864618766668, 0.3222521114778447, 0.028238341968912006]",28.9625,8.912991111111108,6.43611111111111,0,0,0,0
"[0.006977237999675243, 0.3192146817289941, 0.03264248704663235]",29.175,8.908413333333334,6.483333333333333,0,0,0,0
"[0.0071433627139532154, 0.325075741559911, 0.033419689119171085]",29.2125,8.917246666666665,6.491666666666665,0,0,0,0
"[0.007032612904434567, 0.32870148901254637, 0.03290155440414509]",29.1875,8.92271111111111,6.486111111111109,0,0,0,0
"[0.007198737618712556, 0.32849137554690977, 0.03367875647668408]",29.225,8.922394444444443,6.494444444444444,0,0,0,0
"[0.03995986360286616, 0.2860027521371816, 0.043897308036931974]",36.6203007518797,8.858358897243107,6.6040100250626566,0,0,0,0
"[0.007641736856787164, 0.34145132155542673, 0.035751295336787545]",29.325,8.941926666666665,6.516666666666664,0,0,0,0
"[0.04029211303142213, 0.30157326580120586, 0.04545171218200978]",36.6953007518797,8.881825563909775,6.620676691729324,0,0,0,0
"[0.008970734571011024, 0.405969425830034, 0.041968911917098436]",29.625,9.039163333333333,6.58333333333333,0,0,0,0
"[0.07670798272969137, 0.3458548685373526, 0.07276870933811246]",44.9156015037594,8.94856335004177,6.913575605680868,0,0,0,0
"[0.010355107189994208, 0.44641368762428923, 0.04844559585492232]",29.9375,9.100117777777777,6.652777777777775,0,0,0,0
"[0.021153213618063042, 0.798486445807189, 0.09896373056994828]",32.375,9.630734444444448,7.194444444444439,0,0,0,0
"[0.02137471323710034, 0.8, 0.1]",32.425,9.633015555555554,7.2055555555555495,0,0,0,0
