fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.01763357701981616, 0.16685776815875414, 0.014355571079287536]",115.29022556390976,7.730145839598999,7.469674185463659,0,0,0,0
"[0.022205245136064797, 0.17754716169301243, 0.018077385803547178]",119.67706766917291,7.745099640768587,7.549791144527985,0,0,0,0
"[0.03472777242346599, 0.34831841824422194, 0.041181550044630866]",131.69332706766917,7.983998078529659,8.047138680033418,0,0,0,0
"[0.024853180852981042, 0.3405253972751304, 0.032431986649590655]",122.21795112781955,7.9730961236424385,7.858792815371763,0,0,0,0
"[0.06082553693299794, 0.22271736044232698, 0.062190980711763245]",156.73599624060148,7.808289958228905,8.499394319131163,0,0,0,0
"[0.06464234503185161, 0.789417788840391, 0.1]",160.3984962406015,8.601068847117796,9.31328320802005,0,0,0,0
"[0.1, 0.0, 0.0880428455000581]",194.32669172932333,7.496722130325817,9.055889724310774,0,0,0,0
"[0.035920249484810735, 0.07999560831745488, 0.02924282997632635]",132.8375939849624,7.608631044277362,7.7901420217209685,0,0,0,0
"[0.04784952555573836, 0.5861031971944568, 0.07022160127294613]",144.2845864661654,8.316644294068503,8.672263993316626,0,0,0,0
"[0.03727502096017174, 0.3686994859838346, 0.042663096208328595]",134.1375939849624,8.01250993316625,8.079030910609859,0,0,0,0
"[0.043424676586508705, 0.446003621137535, 0.05607851127411026]",140.03862781954888,8.12065364243943,8.367815371762738,0,0,0,0
"[0.007658983882215576, 0.6897612137573845, 0.03430453681064927]",105.71889097744359,8.46165545530493,7.899101921470341,0,0,0,0
"[0.053553826504626895, 0.06041469988233426, 0.04359840105561381]",149.75827067669172,7.581238563074355,8.099164578111946,0,0,0,0
"[0.03595756642611441, 0.1888814290800149, 0.035550316296037714]",132.8734022556391,7.760955580618214,7.92591896407686,0,0,0,0
"[0.03612162384523166, 0.5761499389932936, 0.054988939341017555]",133.03082706766918,8.30272030075188,8.344360902255637,0,0,0,0
"[0.05194870830492934, 0.7039684501143747, 0.0811386657352426]",148.21804511278194,8.48153050125313,8.907268170426061,0,0,0,0
"[0.07687760043252394, 0.22983705776856983, 0.07869367796018158]",172.13909774436092,7.818249974937344,8.854636591478695,0,0,0,0
"[0.035356577576142204, 0.19739747721904244, 0.03553479256413241]",132.29671052631576,7.772869005847955,7.925584795321636,0,0,0,0
"[0.015486628585756466, 0.49364250802337684, 0.028715023091551134]",113.2300751879699,8.187297502088558,7.778780284043439,0,0,0,0
"[0.03407643998338857, 0.24587008508451835, 0.03472949897155276]",131.06832706766917,7.840679189640769,7.908249791144526,0,0,0,0
"[0.03330786770409718, 0.1255296108478958, 0.027116078705320807]",130.33082706766913,7.672330300751879,7.744360902255639,0,0,0,0
"[0.03209110035025033, 0.22317529218140342, 0.03287635347537551]",129.16325187969923,7.808930576441103,7.868358395989974,0,0,0,0
"[0.0, 0.24484011191086652, 0.0]",98.36954887218045,7.8392383208020044,7.16065162907268,0,0,0,0
"[0.03658705719188546, 0.8, 0.07147514262428682]",133.47744360902254,8.615872706766918,8.69924812030075,0,0,0,0
"[0.053209844620483754, 0.3018916870985307, 0.05800442426359296]",149.4281954887218,7.9190499498746885,8.409273182957392,0,0,0,0
"[0.010784693981492361, 0.43022185252623646, 0.023702798152675866]",108.71823308270676,8.098575923141187,7.670885547201334,0,0,0,0
"[0.025121451462510665, 0.6723034097258563, 0.05290293786626318]",122.47537593984961,8.43723306599833,8.299456975772767,0,0,0,0
"[0.023522699670122146, 0.2817221355461102, 0.025190165715838105]",120.94125939849623,7.890833993316626,7.702903091060985,0,0,0,0
"[0.09080455717229656, 0.02710719172056028, 0.0800830519656925]",185.50300751879703,7.5346434168755225,8.884544695071009,0,0,0,0
"[0.0519297070277301, 0.27104699676604366, 0.057199130671013315]",148.19981203007518,7.875900133667501,8.391938178780283,0,0,0,0
"[0.041848452081521374, 0.1984150528771052, 0.04046454767726154]",138.5261278195489,7.774292531328322,8.031704260651626,0,0,0,0
"[0.05817583821098077, 0.16123124289781426, 0.05375674312104622]",154.19342105263158,7.722274678362572,8.317836257309938,0,0,0,0
