fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.05302687001870217, 0.11847184123091177, 0.025164599532437482]",166.77011278195488,7.432261253132833,8.69317042606516,0,0,0,0
"[0.030853306658475157, 0.3812504828028636, 0.01551484798170879]",142.95751879699245,7.7378346532999185,8.359972848788637,0,0,0,0
"[0.05602105283424741, 0.13874959550527274, 0.034250009829094694]",169.98562030075183,7.455841336675021,9.006881787802838,0,0,0,0
"[0.04905172104469527, 0.3584608694713575, 0.03420464477651664]",162.50112781954886,7.711333642439435,9.00531537176274,0,0,0,0
"[0.04543407468085123, 0.45980574518386563, 0.02054704204735508]",158.6160714285714,7.8291830158730145,8.533730158730158,0,0,0,0
"[0.05602954188031496, 0.16485218163671947, 0.03507535135233216]",169.99473684210525,7.48619485380117,9.035380116959061,0,0,0,0
"[0.09949538309664646, 0.6407610314739967, 0.1]",216.67349624060148,8.039607736006683,11.277172096908936,0,0,0,0
"[0.05487468155137753, 0.29177998640635616, 0.040498894604885614]",168.75451127819545,7.6337934586466165,9.222650375939851,0,0,0,0
"[0.04494197255675192, 0.23482133811104153, 0.028777472319757105]",158.0875939849624,7.567558822055139,8.817919799498746,0,0,0,0
"[0.04194087598203825, 0.3154520964640553, 0.021812727014283956]",154.86466165413535,7.6613206850459505,8.577433166248955,0,0,0,0
"[0.08625991008612442, 0.4332610054760558, 0.06952526984645446]",202.45968045112778,7.798315338345864,10.224906015037593,0,0,0,0
"[0.019533207485413276, 0.6537191953365267, 0.022680106819577134]",130.80065789473682,8.054676198830407,8.607383040935671,0,0,0,0
"[0.05728189496512051, 0.2812298047862699, 0.041562553870999996]",171.3396616541353,7.621525129490393,9.2593776106934,0,0,0,0
"[0.09361422449063538, 0.15576320820657835, 0.0800296989877545]",210.35761278195488,7.475625697577276,10.587614870509606,0,0,0,0
"[0.028432615790150762, 0.267692555879902, 0.0029895569648965433]",140.35789473684207,7.6057832748538,7.927485380116959,0,0,0,0
"[0.04227081107146641, 0.5053164773762174, 0.03776156733232327]",155.218984962406,7.88210538847118,9.128132832080201,0,0,0,0
"[0.036481806749054185, 0.5591617667658029, 0.03476868359690427]",149.00206766917293,7.944719640768588,9.024791144527985,0,0,0,0
"[0.046109085117126955, 0.24140459500264744, 0.02944040695476498]",159.340977443609,7.57521419381788,8.84081035923141,0,0,0,0
"[0.025738087549194922, 0.7592194597432208, 0.029313989674914012]",137.46419172932332,8.177357685881374,8.83644527986633,0,0,0,0
"[0.06261844188372809, 0.21941177769032658, 0.055228322309625544]",177.07067669172932,7.549639741019214,9.731244778613197,0,0,0,0
"[0.05602105283424744, 0.17221035137595303, 0.03425000982909475]",169.98562030075186,7.49475133667502,9.00688178780284,0,0,0,0
"[0.053035359064769666, 0.17222190362147807, 0.025989941055675054]",166.77922932330824,7.494764770258981,8.721668755221387,0,0,0,0
"[0.1, 0.0, 0.07974359672282869]",217.21541353383458,7.294495705931493,10.577736006683375,0,0,0,0
"[0.020632932772881262, 0.6056565879131748, 0.03361066502142744]",131.9816729323308,7.998786365914789,8.984805764411027,0,0,0,0
"[0.09484924941955052, 0.21274668520869208, 0.08729536580866233]",211.68392857142854,7.541889206349206,10.838492063492062,0,0,0,0
"[0.06469799562245274, 0.11906840551190581, 0.03179394588251662]",179.30394736842103,7.432954970760229,8.922076023391812,0,0,0,0
"[0.01742993692726288, 0.3553811830623753, 0.0049450931646963]",128.54191729323307,7.7077524143692555,7.9950083542188795,0,0,0,0
"[0.05790378322652015, 0.2803799532116095, 0.04982564698125823]",172.00751879699249,7.620536875522137,9.54469507101086,0,0,0,0
"[0.03189448378285895, 0.8, 0.04174613111709931]",144.07565789473682,8.224779532163742,9.265716374269005,0,0,0,0
"[0.0, 0.5501525454983291, 0.0]",109.82359022556389,7.9342432247284895,7.824258563074352,0,0,0,0
"[0.05718816539462251, 0.18501106560359049, 0.03491294446410263]",171.23900375939849,7.50963670843776,9.029772347535504,0,0,0,0
"[0.013022634247262284, 0.6007592691818142, 0.0038351615449522427]",123.80883458646615,7.993091495405178,7.9566833751044275,0,0,0,0
