fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.03506069320079907, 0.6829164540198001, 0.038379739363811755]",74.63937969924811,8.181603107769424,7.000062656641604,0,0,0,0
"[0.029766639014028408, 0.20251926321444116, 0.012129820063268487]",73.3018796992481,7.918320885547204,6.702840434419381,0,0,0,0
"[0.029766639014028408, 0.1669933806613633, 0.012129820063268487]",73.3018796992481,7.898850885547205,6.702840434419381,0,0,0,0
"[0.05953327802805687, 0.07206105266752344, 0.02425964012653674]",80.8221804511278,7.8468231161236455,6.8401837928153695,0,0,0,0
"[0.0323394503945151, 0.4290390861703018, 0.024886790190635374]",73.95187969924811,8.042465329991648,6.847284878863826,0,0,0,0
"[0.07474136103061262, 0.10238262045568314, 0.05297665710570243]",84.66437969924812,7.863440885547203,7.16534043441938,0,0,0,0
"[0.05476338393890129, 0.40999839638351326, 0.03447480793529283]",79.61710526315788,8.032030058479537,6.955847953216372,0,0,0,0
"[0.0323394503945151, 0.4194414414744008, 0.02488679019063514]",73.95187969924811,8.037205329991648,6.847284878863824,0,0,0,0
"[0.002622288522419076, 0.5183656922409918, 0.013002296475970052]",66.44407894736841,8.091420877192983,6.712719298245612,0,0,0,0
"[0.05457217152571883, 0.10208494533375577, 0.02223800344932535]",79.5687969924812,7.863277744360907,6.8172932330827045,0,0,0,0
"[0.029766639014028408, 0.17693770834057446, 0.012129820063268487]",73.3018796992481,7.904300885547204,6.702840434419381,0,0,0,0
"[0.029766639014028408, 0.16547892341847292, 0.012129820063268487]",73.3018796992481,7.898020885547204,6.702840434419381,0,0,0,0
"[0.06225452083434085, 0.3509725812067112, 0.03775258929971336]",81.5096804511278,7.999680893901422,6.99296157059315,0,0,0,0
"[0.057144982906205455, 0.36318183425678474, 0.03499497357669231]",80.21879699248119,8.006372188805349,6.961737677527151,0,0,0,0
"[0.0, 0.26814775588200984, 0.0]",65.78157894736842,7.954288654970762,6.565497076023389,0,0,0,0
"[0.06215556655047595, 0.36034113129961054, 0.037261936602506866]",81.4846804511278,8.00481533834587,6.987406015037593,0,0,0,0
"[0.08473574370096461, 0.10060865782177714, 0.06205373200402095]",87.18937969924811,7.862468663324981,7.268118212197156,0,0,0,0
"[0.005294054186770655, 0.8, 0.02624991930054343]",67.11907894736842,8.245770877192985,6.862719298245614,0,0,0,0
"[0.05953327802805687, 0.07003569418607113, 0.024259640126536818]",80.8221804511278,7.845713116123647,6.84018379281537,0,0,0,0
"[0.03243840467837999, 0.4210207750650427, 0.02537744288784163]",73.97687969924812,8.038070885547203,6.85284043441938,0,0,0,0
"[0.08433881053974729, 0.0, 0.03436782351259368]",87.0890977443609,7.807329974937345,6.954636591478694,0,0,0,0
"[0.029766639014028408, 0.16547892341847292, 0.012129820063268487]",73.3018796992481,7.898020885547204,6.702840434419381,0,0,0,0
"[0.05953327802805687, 0.10483171782691325, 0.02425964012653674]",80.8221804511278,7.864783116123646,6.8401837928153695,0,0,0,0
"[0.05953327802805687, 0.07645845261374805, 0.024259640126536895]",80.8221804511278,7.8492331161236475,6.840183792815371,0,0,0,0
"[0.05457217152571883, 0.09993186154265404, 0.02223800344932535]",79.5687969924812,7.862097744360904,6.8172932330827045,0,0,0,0
"[0.05953327802805687, 0.11251348287819635, 0.02425964012653674]",80.8221804511278,7.868993116123646,6.8401837928153695,0,0,0,0
"[0.0818582572885783, 0.04510950322644214, 0.03335700517398795]",86.4624060150376,7.8320522890559765,6.943191311612361,0,0,0,0
"[0.05209161827454977, 0.09106829820925742, 0.021227185110719696]",78.94210526315788,7.857240058479536,6.8058479532163725,0,0,0,0
"[0.0049611065023380495, 0.2453494664469175, 0.0020216366772113884]",67.03496240601503,7.941794026733503,6.588387635756054,0,0,0,0
"[0.07474136103061262, 0.11677908749953453, 0.05297665710570243]",84.66437969924812,7.871330885547203,7.16534043441938,0,0,0,0
"[0.1, 0.4033559790810386, 0.1]",91.04577067669172,8.028389674185467,7.697775689223057,0,0,0,0
"[0.029766639014028408, 0.16007796746792638, 0.012129820063268487]",73.3018796992481,7.8950608855472035,6.702840434419381,0,0,0,0
"[0.0, 0.12651919954940657, 0.0]",65.78157894736842,7.933198654970762,6.56549707602339,0,0,0,0
