fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.07817464720177228, 0.008091720285467414, 0.004295256931746111]",179.2127819548872,7.322369799498749,8.637092731829574,0,0,0,0
"[0.1, 0.0, 0.08504625234400151]",204.99830827067663,7.204180091896411,9.391332497911447,0,0,0,0
"[0.07552720255986008, 0.07834261689918844, 0.04815579076208493]",193.6266917293232,7.245646574770261,8.900334168755222,0,0,0,0
"[0.05934280201131869, 0.1512275881172569, 0.037836692741638187]",186.10639097744354,7.28422434419382,8.762990810359232,0,0,0,0
"[0.08516429949717036, 0.08869403829836976, 0.07558707915859177]",198.10469924812026,7.251125547201339,9.265434419381787,0,0,0,0
"[0.05934280201131869, 0.15470389970927406, 0.037836692741638187]",186.10639097744354,7.286064344193821,8.762990810359232,0,0,0,0
"[0.05799410196560695, 0.16358798073095063, 0.03697676790660092]",185.47969924812026,7.290766658312448,8.7515455304929,0,0,0,0
"[0.056645401919895144, 0.17154630486128492, 0.03611684307156366]",184.85300751879694,7.29497897243108,8.740100250626567,0,0,0,0
"[0.045855801554200826, 0.20029863800149814, 0.029237444391265834]",179.83947368421047,7.310197485380119,8.648538011695907,0,0,0,0
"[0.06763119890291709, 0.15978854679089413, 0.06440805630310803]",189.95770676691725,7.288755630743527,9.116645781119468,0,0,0,0
"[0.07167729904005249, 0.15478767918482247, 0.06698783080821955]",191.8377819548872,7.286108688387639,9.150981620718463,0,0,0,0
"[0.04450710150848909, 0.22329578836685526, 0.02837751955622857]",179.2127819548872,7.322369799498749,8.637092731829574,0,0,0,0
"[0.040461001371353694, 0.23052602971128802, 0.025797745051116917]",177.33270676691725,7.3261967418546385,8.602756892230577,0,0,0,0
"[0.05822953790640013, 0.18785075676064106, 0.06267094536809648]",185.58909774436088,7.303608863826234,9.093525480367585,0,0,0,0
"[0.08672881582194254, 0.1384324513674476, 0.1]",198.8316729323308,7.2774519214703455,9.590361319966583,0,0,0,0
"[0.028322700959947572, 0.29880688627671814, 0.01805842153578183]",171.69248120300747,7.362337568922308,8.499749373433584,0,0,0,0
"[0.04315840146277736, 0.2763516982044811, 0.027517594721191443]",178.5860902255639,7.350452113617378,8.625647451963243,0,0,0,0
"[0.028322700959947572, 0.3074976652567586, 0.0180584215357817]",171.69248120300747,7.3669375689223076,8.499749373433582,0,0,0,0
"[0.028322700959947572, 0.31010489895076937, 0.01805842153578183]",171.69248120300747,7.368317568922307,8.499749373433584,0,0,0,0
"[0.01483570050282978, 0.33287689592149716, 0.00945917318540948]",165.42556390977444,7.380370710108606,8.385296574770258,0,0,0,0
"[0.05684159853722283, 0.25073662863174834, 0.05752865762280993]",184.94417293233082,7.336894143692567,9.025083542188804,0,0,0,0
"[0.02967140100565943, 0.31663750411977204, 0.018918346370819093]",172.31917293233082,7.371775254803679,8.511194653299917,0,0,0,0
"[0.043374217741837695, 0.29042450352364163, 0.05107059072756215]",178.68637218045112,7.357900802005014,8.939129072681702,0,0,0,0
"[0.03102010105137123, 0.34654074754596353, 0.019778271205856356]",172.94586466165413,7.387602940685047,8.52263993316625,0,0,0,0
"[0.001348700045711798, 0.4095128295706933, 0.0008599248350372619]",159.15864661654132,7.420933851294905,8.270843776106934,0,0,0,0
"[0.014835700502829655, 0.4126620255578292, 0.00945917318540948]",165.42556390977438,7.422600710108608,8.385296574770258,0,0,0,0
"[0.0, 0.4589034978384821, 0.0]",158.531954887218,7.447076165413537,8.259398496240602,0,0,0,0
"[0.07307616069514283, 0.39730659561142034, 0.07784045883580615]",192.48778195488717,7.414473132832082,9.295426065162907,0,0,0,0
"[0.04593286434925429, 0.49596373081068673, 0.0394388519689611]",179.87528195488719,7.466692021720971,8.784314954051796,0,0,0,0
"[0.04458416430354243, 0.5394219977747069, 0.03857892713392398]",179.24859022556385,7.489694335839602,8.772869674185465,0,0,0,0
"[0.031150966217774273, 0.5653785144828036, 0.03039708755384335]",173.00667293233082,7.503433032581455,8.663972431077694,0,0,0,0
"[0.013590964437846168, 0.6978227852196996, 0.019009360313213555]",164.8471804511278,7.573535338345867,8.512406015037595,0,0,0,0
"[0.07760284141245392, 0.8, 0.09375220669580175]",194.59116541353382,7.627617393483712,9.507205513784463,0,0,0,0
