fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.049278826540633786, 0.22918345155678135, 0.03212283063279661]",71.70422932330827,8.453230325814536,7.114724310776943,0,0,0,0
"[0.03479038677138514, 0.8, 0.06001598007529359]",67.19812030075188,9.037731336675021,7.519381787802842,0,0,0,0
"[0.07763319724766478, 0.6427413496335113, 0.07028785730224642]",80.52283834586466,8.876702648287386,7.668400167084376,0,0,0,0
"[0.05510653664491913, 0.6066129291146468, 0.059886411897238034]",73.51672932330827,8.839708103592315,7.51750208855472,0,0,0,0
"[0.07522717039517218, 0.32684657876241235, 0.050014756375834246]",79.77453007518797,8.553234778613202,7.374289891395157,0,0,0,0
"[0.055709403207431396, 0.6870902733131271, 0.06275850651080091]",73.70422932330827,8.922114770258984,7.559168755221386,0,0,0,0
"[0.055950549832436317, 0.7088453939052467, 0.06390734435622607]",73.77922932330827,8.944391436925649,7.575835421888053,0,0,0,0
"[0.027791695248686233, 0.4496372852405599, 0.03548440503012462]",65.02142857142857,8.678969206349208,7.163492063492064,0,0,0,0
"[0.0, 0.13265306828003706, 0.0]",56.377819548872175,8.354385772765248,6.648705096073517,0,0,0,0
"[0.09095700156231587, 0.0, 0.05691858079655633]",84.66672932330829,8.218552548036762,7.474446532999164,0,0,0,0
"[0.05144914616567797, 0.39403146992952387, 0.0424623712416231]",72.37922932330827,8.622030325814537,7.264724310776943,0,0,0,0
"[0.049278826540633786, 0.24305099812605288, 0.03212283063279661]",71.70422932330827,8.467430325814536,7.114724310776943,0,0,0,0
"[0.049278826540633786, 0.23613675659715036, 0.03212283063279655]",71.70422932330827,8.460350325814538,7.114724310776942,0,0,0,0
"[0.049278826540633786, 0.24351976026360533, 0.03212283063279655]",71.70422932330827,8.467910325814536,7.114724310776942,0,0,0,0
"[0.04903767991562887, 0.22677453501658262, 0.030973992787371393]",71.62922932330827,8.450763659147873,7.098057644110275,0,0,0,0
"[0.04931901764480128, 0.2480684891539347, 0.032314303607034106]",71.71672932330827,8.472568103592316,7.11750208855472,0,0,0,0
"[0.07964819185359555, 0.6131777773940961, 0.07107678354196198]",81.14953007518797,8.846430334168756,7.679845446950709,0,0,0,0
"[0.0029339506042264374, 0.30117088653519253, 0.013977527119339523]",57.29031954887218,8.526943550543024,6.851482873851295,0,0,0,0
"[0.05144914616567797, 0.38723441893500854, 0.04246237124162304]",72.37922932330827,8.615070325814537,7.264724310776942,0,0,0,0
"[0.04903767991562887, 0.2325364029573348, 0.030973992787371393]",71.62922932330827,8.456663659147871,7.098057644110275,0,0,0,0
"[0.049278826540633786, 0.2403165523236609, 0.03212283063279661]",71.70422932330827,8.464630325814536,7.114724310776943,0,0,0,0
"[0.04947978206147122, 0.2583823412776369, 0.03308019550398427]",71.76672932330827,8.483129214703427,7.128613199665832,0,0,0,0
"[0.07068013622668988, 0.14679534849279072, 0.037163032759154314]",78.36033834586466,8.368867092731831,7.1878446115288215,0,0,0,0
"[0.027791695248686233, 0.46881746936876345, 0.03548440503012456]",65.02142857142857,8.698609206349209,7.163492063492063,0,0,0,0
"[0.049278826540633786, 0.2404337428580516, 0.03212283063279661]",71.70422932330827,8.464750325814538,7.114724310776943,0,0,0,0
"[0.049278826540633786, 0.24305099812605288, 0.03212283063279661]",71.70422932330827,8.467430325814536,7.114724310776943,0,0,0,0
"[0.049278826540633786, 0.24305099812605288, 0.03212283063279661]",71.70422932330827,8.467430325814536,7.114724310776943,0,0,0,0
"[0.05534768326992404, 0.652440938645678, 0.061035249742663084]",73.59172932330827,8.886634770258981,7.534168755221385,0,0,0,0
"[0.0795632768139635, 0.49658828098123514, 0.08375862888074687]",81.12312030075188,8.727045781119466,7.863826232247285,0,0,0,0
"[0.07345876181180286, 0.20897026272852806, 0.04158994550938296]",79.22453007518797,8.43253255639098,7.252067669172933,0,0,0,0
"[0.05398662512578603, 0.41815201341531494, 0.04574044614642641]",73.16842105263157,8.64672912280702,7.312280701754386,0,0,0,0
"[0.1, 0.6087364650016623, 0.1]",87.47922932330829,8.841882548036759,8.099446532999165,0,0,0,0
"[0.0, 0.0, 0.0]",71.70422932330827,8.467430325814536,7.114724310776943,0,0,0,0
