fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.044259492836838034, 0.423752346345505, 0.04456395213484178]",32.135902255639095,49.558084469507115,2.5398078529657475,0,0,0,0
"[0.02868841657410718, 0.23978276149140476, 0.05147366950691437]",28.249060150375936,49.10963177944861,2.5708020050125318,0,0,0,0
"[0.025583689451985143, 0.32017088676278976, 0.013079107882851375]",27.474060150375934,49.305589557226405,2.3985797827903093,0,0,0,0
"[0.03341591520924715, 0.3626913068080082, 0.02444941099781163]",29.429135338345862,49.40923928153718,2.4495822890559737,0,0,0,0
"[0.02924603249308157, 0.5356519750479652, 0.029873818503515278]",28.388251879699247,49.83085613199667,2.4739139515455304,0,0,0,0
"[0.0074018712701669695, 0.2285390633871671, 0.016198724216603903]",22.93552631578947,49.082223625730975,2.4125730994152055,0,0,0,0
"[0.0, 0.6935179680615835, 0.09563719327652831]",21.087875939849624,50.21567751044278,2.76890142021721,0,0,0,0
"[0.0066006513676838685, 0.4095315403961537, 0.006290450249103828]",22.73552631578947,49.52341918128654,2.368128654970761,0,0,0,0
"[0.04440972156855363, 0.18725504175222227, 0.046421753503748144]",32.1734022556391,48.98158780284043,2.5481411862990813,0,0,0,0
"[0.03466104407085976, 0.5992989558913501, 0.06834287842808578]",29.739943609022554,49.98600492898914,2.6464703425229743,0,0,0,0
"[0.08071650445226752, 0.24010328041382112, 0.06797504306932982]",41.236278195488715,49.110413091061,2.6448203842940683,0,0,0,0
"[0.058114422334757804, 0.2222672315848432, 0.07342273129394242]",35.59436090225564,49.06693512113617,2.669256474519633,0,0,0,0
"[0.03552589468928254, 0.4133448769450889, 0.022046840806443938]",29.95582706766917,49.53271474519633,2.438805346700083,0,0,0,0
"[0.05214179483800521, 0.7317698175621409, 0.05655352237277089]",34.103477443609016,50.30892197159565,2.59358813700919,0,0,0,0
"[0.06646096500310623, 0.12287424280389869, 0.03416212692647944]",37.67781954887218,48.824650217209694,2.493149540517962,0,0,0,0
"[0.06646096500310623, 0.31211010129830424, 0.034162126926479346]",37.67781954887218,49.285940217209685,2.4931495405179613,0,0,0,0
"[0.026384909354468272, 0.5600024648183759, 0.022987381850351547]",27.67406015037594,49.89021400167085,2.443024227234754,0,0,0,0
"[0.03952521696568084, 0.26426391885112627, 0.1]",30.954135338345868,49.16930817042606,2.7884711779448628,0,0,0,0
"[0.08152450159076788, 0.0, 0.0494715276807747]",41.43796992481202,48.52512633249793,2.5618212197159567,0,0,0,0
"[0.02222180387431992, 0.3573871595471707, 0.0]",26.63486842105263,49.396309649122806,2.3399122807017547,0,0,0,0
"[0.05570398539129126, 0.8, 0.07210969874749719]",34.99266917293233,50.47524299081036,2.6633667502088554,0,0,0,0
"[0.04661985353639941, 0.5859926311458062, 0.045257717558318256]",32.725093984962406,49.95356882205514,2.5429197994987476,0,0,0,0
"[0.04551139893446789, 0.48208093662275503, 0.060045630209060744]",32.448402255639095,49.70026891395155,2.609252297410192,0,0,0,0
"[0.07469380071160979, 0.3036067931998303, 0.050486567025189735]",39.732894736842105,49.26521216374269,2.5663742690058484,0,0,0,0
"[0.04782846062614128, 0.5195578214535505, 0.031708339153512885]",33.02678571428571,49.791624285714285,2.4821428571428568,0,0,0,0
"[0.01583501195429129, 0.44828101794599723, 0.03500023280718902]",25.040601503759394,49.61787668337511,2.4969089390142023,0,0,0,0
"[0.04571848114610588, 0.13276846312867147, 0.034110909344880674]",32.5000939849624,48.848768822055135,2.4929197994987478,0,0,0,0
"[0.0407473785274572, 0.2978959817514326, 0.029627042883084244]",31.259210526315783,49.25129122807019,2.47280701754386,0,0,0,0
"[0.028194431371072498, 0.09221046964847551, 0.016869208921171525]",28.125751879699248,48.749902798663314,2.4155806182121977,0,0,0,0
"[0.061533161392345465, 0.2848630695203651, 0.05870931694370716]",36.44774436090225,49.219521604010026,2.6032581453634087,0,0,0,0
"[0.1, 0.05659714790148648, 0.0784793034408903]",46.04981203007519,48.66309013366751,2.6919381787802847,0,0,0,0
"[0.04199928462508706, 0.5985608435463883, 0.04510872095730321]",31.571710526315787,49.98420567251462,2.5422514619883048,0,0,0,0
