fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0045665839099888975, 0.41117126394974557, 0.01826864458443415]",12.35845864661654,49.62984842940684,2.1072263993316636,0,0,0,0
"[0.0045665839099888975, 0.4997018175848039, 0.018268644584434366]",12.35845864661654,49.71076842940684,2.107226399331664,0,0,0,0
"[0.08941418836828482, 0.6538312275396687, 0.09594594594594619]",15.377725563909774,49.85164806182121,2.266896407685883,0,0,0,0
"[0.0, 0.1897670807266835, 0.000701077016866226]",12.19595864661654,49.427477318295715,2.0711152882205517,0,0,0,0
"[0.010538270561512863, 0.506837457034437, 0.04124161755740724]",12.57095864661654,49.717290651629064,2.154448621553886,0,0,0,0
"[0.0045665839099888975, 0.41117126394974557, 0.01826864458443415]",12.35845864661654,49.62984842940684,2.1072263993316636,0,0,0,0
"[0.07571443663831808, 0.5811169950083946, 0.04324324324324306]",14.890225563909773,49.785184728487884,2.1585630743525486,0,0,0,0
"[0.011240821932280397, 0.5145894115097788, 0.04394432026011015]",12.595958646616541,49.72437620718461,2.160004177109442,0,0,0,0
"[0.010538270561512863, 0.3292183840901437, 0.04124161755740724]",12.57095864661654,49.55494065162906,2.154448621553886,0,0,0,0
"[0.0045665839099888975, 0.3203432045975003, 0.01826864458443415]",12.35845864661654,49.54682842940683,2.1072263993316636,0,0,0,0
"[0.01194337330304793, 0.5658845695772604, 0.046647022962812625]",12.620958646616542,49.77126176274017,2.165559732664997,0,0,0,0
"[0.012645924673815465, 0.6610839678495863, 0.04934972566551532]",12.645958646616542,49.858277318295734,2.1711152882205527,0,0,0,0
"[0.022832919549944534, 0.6599850550621021, 0.08853891485470369]",13.00845864661654,49.85727287385128,2.2516708437761066,0,0,0,0
"[0.011240821932280397, 0.3780847503994699, 0.04394432026010972]",12.595958646616541,49.599606207184614,2.160004177109441,0,0,0,0
"[0.1, 0.589120480522979, 0.07448689290794523]",15.754417293233082,49.79250019214702,2.2227861319966586,0,0,0,0
"[0.06904019861602663, 0.38738499175661856, 0.017567567567567707]",14.652725563909774,49.608106950710095,2.1057852965747714,0,0,0,0
"[0.01861761132533938, 0.6668301633654871, 0.07232269863848777]",12.85845864661654,49.863529540517945,2.218337510442774,0,0,0,0
"[0.0045665839099888975, 0.5002926047692129, 0.01826864458443415]",12.35845864661654,49.711308429406834,2.1072263993316636,0,0,0,0
"[0.01194337330304793, 0.565884569577276, 0.046647022962812625]",12.620958646616542,49.77126176274018,2.165559732664997,0,0,0,0
"[0.01194337330304793, 0.43000351716162416, 0.04664702296281241]",12.620958646616542,49.64706176274018,2.1655597326649967,0,0,0,0
"[0.009835719190745329, 0.5882177838819812, 0.038538914854704336]",12.54595864661654,49.79167509607351,2.14889306599833,0,0,0,0
"[0.011240821932280397, 0.4294941759470744, 0.043944320260109936]",12.595958646616541,49.64659620718462,2.1600041771094416,0,0,0,0
"[0.07114785272832917, 0.0, 0.025675675675675348]",14.727725563909773,49.25402361737678,2.122451963241437,0,0,0,0
"[0.06447361470603769, 0.3487528585863769, 0.0]",14.490225563909773,49.57279583959898,2.06967418546366,0,0,0,0
"[0.0045665839099888975, 0.41117126394974557, 0.01826864458443415]",12.35845864661654,49.62984842940684,2.1072263993316636,0,0,0,0
"[0.0045665839099888975, 0.32189675608245694, 0.018268644584434366]",12.35845864661654,49.54824842940684,2.107226399331664,0,0,0,0
"[0.008781892134594052, 0.3587589589224283, 0.034484860800650295]",12.50845864661654,49.58194176274017,2.1405597326649968,0,0,0,0
"[0.09046801542443611, 0.8, 0.1]",15.415225563909773,49.98525139515455,2.2752297410192157,0,0,0,0
"[0.01194337330304793, 0.431152270020202, 0.04664702296281241]",12.620958646616542,49.64811176274017,2.1655597326649967,0,0,0,0
"[0.0038640325392214126, 0.7131559016595462, 0.01556594188173146]",12.333458646616542,49.905872873851294,2.101670843776108,0,0,0,0
"[0.009835719190745329, 0.41193345235433504, 0.0385389148547039]",12.54595864661654,49.63054509607351,2.148893065998329,0,0,0,0
"[0.011240821932280397, 0.5978794640090079, 0.04394432026010972]",12.595958646616541,49.80050620718462,2.160004177109441,0,0,0,0
"[0.0, 0.0, 0.0]",12.35845864661654,49.62984842940684,2.1072263993316636,0,0,0,0
