fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.036075949367088606, 0.40454021312360844, 0.02884615384615375]",24.744642857142853,48.509113809523804,2.3827380952380954,0,0,0,0
"[0.07109831540877515, 0.4258166288284536, 0.06469346443030655]",28.2031015037594,48.52249446115288,2.5121867167919802,0,0,0,0
"[0.04417721518987343, 0.10055952638485482, 0.07807692307692317]",25.544642857142854,48.31794158730158,2.5605158730158735,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.05739316646045493, 0.5288263654948511, 0.052200694042799325]",26.849718045112777,48.58727686716792,2.467073934837093,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.04470067573998289, 0.6120748398836411, 0.045861769809138246]",25.596334586466163,48.63963149540518,2.444183375104428,0,0,0,0
"[0.038734177215189874, 0.2396374705270624, 0.04500000000000001]",25.007142857142853,48.405407142857136,2.441071428571429,0,0,0,0
"[0.063739411820691, 0.33844143065691507, 0.05537015615962987]",27.47640977443609,48.467544553049294,2.4785192147034256,0,0,0,0
"[0.04379746835443038, 0.6748304653186247, 0.07576923076923087]",25.507142857142853,48.67909825396824,2.55218253968254,0,0,0,0
"[0.08912439326163511, 0.11473310994609842, 0.06804800462695203]",29.98317669172932,48.32685529657478,2.5243003341687555,0,0,0,0
"[0.038354430379746854, 0.09561788574198826, 0.042692307692307585]",24.969642857142855,48.314833809523805,2.4327380952380953,0,0,0,0
"[0.04113924050632912, 0.5191396334521172, 0.05961538461538473]",25.244642857142853,48.58118492063491,2.493849206349207,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.06614447511183023, 0.3515720253146853, 0.06998554077501447]",27.71390977443609,48.47580233082707,2.531296992481203,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.06449890549157707, 0.1635105320757526, 0.059985540775014605]",27.551409774436088,48.357531219715945,2.4951858813700927,0,0,0,0
"[0.0, 0.3792313099383977, 0.0]",21.182142857142853,48.49319714285714,2.2785714285714294,0,0,0,0
"[0.038354430379746854, 0.5569660639719057, 0.042692307692307585]",24.969642857142855,48.60497380952382,2.4327380952380953,0,0,0,0
"[0.1, 0.04222979244699296, 0.1]",31.057142857142853,48.281258253968254,2.6396825396825396,0,0,0,0
"[0.036329113924050624, 0.08891654753736843, 0.030384615384615288]",24.769642857142852,48.310619365079376,2.388293650793651,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.036329113924050624, 0.027873063142770133, 0.030384615384615413]",24.769642857142852,48.27222936507937,2.3882936507936514,0,0,0,0
"[0.038354430379746854, 0.09533166987352837, 0.042692307692307585]",24.969642857142855,48.31465380952382,2.4327380952380953,0,0,0,0
"[0.03405063291139242, 0.33657277818223474, 0.016538461538461332]",24.544642857142854,48.466369365079366,2.3382936507936507,0,0,0,0
"[0.04113924050632912, 0.5841106355975563, 0.05961538461538473]",25.244642857142853,48.62204492063492,2.493849206349207,0,0,0,0
"[0.06627105739031125, 0.1590088158233498, 0.07075477154424535]",27.72640977443609,48.354700108604845,2.5340747702589814,0,0,0,0
"[0.038354430379746854, 0.2263867358751279, 0.042692307692307585]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
"[0.038354430379746854, 0.35556549785003766, 0.042692307692307585]",24.969642857142855,48.47831380952382,2.4327380952380953,0,0,0,0
"[0.061714095364994795, 0.0, 0.04306246385193757]",27.27640977443609,48.25470010860485,2.4340747702589813,0,0,0,0
"[0.05739316646045493, 0.8, 0.052200694042799325]",26.849718045112777,48.75781686716792,2.467073934837093,0,0,0,0
"[0.0, 0.0, 0.0]",24.969642857142855,48.39707380952381,2.4327380952380953,0,0,0,0
