fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",10.0,49.37212222222223,2.2222222222222228,0,0,0,0
"[0.009312730682047458, 0.0, 0.04938015228745863]",10.425,49.255046666666665,2.3166666666666678,0,0,0,0
"[0.0, 0.06925635162770054, 0.0]",9.6875,49.30527777777779,2.152777777777778,0,0,0,0
"[0.004103915215817511, 0.05795363170405097, 0.02176074507582905]",10.0125,49.29708000000002,2.225,0,0,0,0
"[0.0053666583591459975, 0.13639401775058957, 0.02845635894531505]",10.1125,49.35397222222224,2.2472222222222227,0,0,0,0
"[0.009470573574963509, 0.11837676524010343, 0.0502171040211441]",10.4375,49.34090444444445,2.3194444444444446,0,0,0,0
"[0.031496184474430644, 0.2111342400859127, 0.01295701969668353]",12.181766917293233,49.40818074352549,2.19578111946533,0,0,0,0
"[0.0026833291795729988, 0.24499541624726248, 0.014228179472657457]",9.9,49.43274000000001,2.2,0,0,0,0
"[0.002841172072489048, 0.24990071703278516, 0.015065131206343056]",9.9125,49.43629777777779,2.2027777777777775,0,0,0,0
"[0.004893129680397804, 0.24231910129651513, 0.025945503744258115]",10.075,49.4307988888889,2.2388888888888903,0,0,0,0
"[0.1, 0.0770212944370269, 0.1]",17.606766917293232,49.310909632414365,2.4846700083542186,0,0,0,0
"[0.0727786283096569, 0.1404664565938341, 0.07780504688188289]",15.451033834586465,49.356925931495404,2.4110066833751045,0,0,0,0
"[0.03449519943983574, 0.2846739211940088, 0.028859102636712586]",12.419266917293232,49.46151852130326,2.248558897243108,0,0,0,0
"[0.005998029930810217, 0.3166814390322793, 0.03180416588005771]",10.1625,49.48473333333333,2.258333333333333,0,0,0,0
"[0.006155872823726289, 0.3820313206402679, 0.03264111761374371]",10.175,49.53213111111111,2.2611111111111115,0,0,0,0
"[0.006313715716642339, 0.3895424667212985, 0.033478069347429175]",10.1875,49.5375788888889,2.2638888888888884,0,0,0,0
"[0.008681359110383214, 0.39044784859644915, 0.046032345352715165]",10.375,49.538235555555566,2.305555555555555,0,0,0,0
"[0.005524501252062046, 0.4256397816523471, 0.02929331067900051]",10.125,49.56376000000001,2.2499999999999996,0,0,0,0
"[0.005524501252062046, 0.4256397816523471, 0.02929331067900051]",10.125,49.56376000000001,2.2499999999999996,0,0,0,0
"[0.005524501252062046, 0.4256397816523471, 0.02929331067900051]",10.125,49.56376000000001,2.2499999999999996,0,0,0,0
"[0.03749421440524086, 0.41474252141071805, 0.04476118557674151]",12.656766917293233,49.55585629908104,2.3013366750208855,0,0,0,0
"[0.008523516217467166, 0.4458078905971963, 0.045195393619029835]",10.3625,49.57838777777779,2.3027777777777785,0,0,0,0
"[0.004103915215817511, 0.5075653517360703, 0.02176074507582905]",10.0125,49.623180000000005,2.225,0,0,0,0
"[0.09842157107083943, 0.3766965673168936, 0.09163048266314268]",17.481766917293232,49.5282618546366,2.456892230576441,0,0,0,0
"[0.010259788039543801, 0.5434727049877455, 0.054401862689572755]",10.5,49.649223333333346,2.3333333333333335,0,0,0,0
"[0.03560009969024815, 0.5403424263146895, 0.03471776477251259]",12.506766917293232,49.64695296574771,2.268003341687552,0,0,0,0
"[0.008839202003299266, 0.6238127078281653, 0.0468692970864009]",10.3875,49.70749333333333,2.3083333333333327,0,0,0,0
"[0.03812558597690508, 0.6042538077860192, 0.04810899251148431]",12.706766917293232,49.69330741019216,2.312447786131996,0,0,0,0
"[0.010733316718291972, 0.6640355614898464, 0.0569127178906297]",10.5375,49.73666666666668,2.341666666666666,0,0,0,0
"[0.005524501252062046, 0.7127929031827671, 0.02929331067900051]",10.125,49.77203,2.2499999999999996,0,0,0,0
"[0.014048017469529212, 0.7447248487085079, 0.07448870429803034]",10.8,49.795190000000005,2.4,0,0,0,0
"[0.03923048622731749, 0.79285971228615, 0.0539676546472847]",12.794266917293232,49.8301018546366,2.3318922305764413,0,0,0,0
"[0.04777536464081841, 0.8, 0.06076395443961972]",13.470958646616541,49.835280651629084,2.354448621553884,0,0,0,0
