fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.0583297859192838, 0.0, 0.02713987473903976]",32.66428571428572,47.742058730158725,2.401587301587303,0,0,0,0
"[0.04001689026818453, 0.07266442499379729, 0.016112885781120308]",30.15751879699248,47.798907986633246,2.3558061821219725,0,0,0,0
"[0.05493868695329776, 0.05198856133099908, 0.03308096687375805]",32.20009398496241,47.782732155388466,2.426253132832081,0,0,0,0
"[0.05493868695329776, 0.05418705641678402, 0.03308096687375815]",32.20009398496241,47.78445215538847,2.4262531328320813,0,0,0,0
"[0.03717369512379331, 0.09977505453051365, 0.026068365319314803]",29.76832706766917,47.82011807852966,2.3971386800334176,0,0,0,0
"[0.03662579130219849, 0.12328531787027391, 0.02205397791583859]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.03662579130219849, 0.12328531787027391, 0.02205397791583859]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.03662579130219849, 0.12328531787027391, 0.02205397791583859]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.03662579130219849, 0.12328531787027391, 0.02205397791583859]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.03662579130219849, 0.12328531787027391, 0.02205397791583859]",29.69332706766917,47.83851141186299,2.3804720133667505,0,0,0,0
"[0.04578223912774814, 0.1145748953754998, 0.02756747239479837]",30.94671052631579,47.83169678362573,2.403362573099416,0,0,0,0
"[0.06768603325872322, 0.10775939402781308, 0.05324596926327433]",33.94501879699248,47.82636465329992,2.509972848788639,0,0,0,0
"[0.037904233552586424, 0.1775177037523804, 0.03142088185728283]",29.86832706766917,47.88094030075188,2.4193609022556393,0,0,0,0
"[0.05951691086607255, 0.1533847982939403, 0.035837714113237884]",32.82678571428571,47.862059841269826,2.4376984126984134,0,0,0,0
"[0.06429493429273718, 0.15802239235541946, 0.059187061397992825]",33.48082706766917,47.865688078529644,2.5346386800334177,0,0,0,0
"[0.03662579130219849, 0.22781609003008554, 0.022053977915838806]",29.69332706766917,47.92029141186299,2.3804720133667514,0,0,0,0
"[0.05493868695329776, 0.20818396800658429, 0.03308096687375805]",32.20009398496241,47.90493215538847,2.426253132832081,0,0,0,0
"[0.018312895651099247, 0.3017842737375466, 0.011026988957919242]",27.186560150375936,47.978160668337516,2.3346908939014206,0,0,0,0
"[0.03543866635540969, 0.28470712113219204, 0.01335613854164047]",29.53082706766917,47.964800300751875,2.34436090225564,0,0,0,0
"[0.03204756738942365, 0.2839573643008794, 0.019297230676358756]",29.066635338345858,47.964213725981615,2.369026733500418,0,0,0,0
"[0.06584732845392255, 0.220107155065207, 0.07056115904117513]",33.69332706766917,47.91426030075186,2.58186090225564,0,0,0,0
"[0.03662579130219849, 0.382809993577379, 0.02205397791583859]",29.69332706766917,48.04155141186298,2.3804720133667505,0,0,0,0
"[0.1, 0.24607013223776916, 0.1]",38.36832706766917,47.9345725229741,2.704083124477862,0,0,0,0
"[0.03662579130219849, 0.3903002152068368, 0.02205397791583859]",29.69332706766917,48.04741141186299,2.3804720133667505,0,0,0,0
"[0.0583297859192838, 0.37159679728906503, 0.027139874739039657]",32.66428571428572,48.032778730158725,2.4015873015873024,0,0,0,0
"[0.08274102961976301, 0.3535450131267864, 0.08394245038609548]",36.00582706766917,48.01865585630743,2.637416457811195,0,0,0,0
"[0.017204729275091646, 0.4957476142932853, 0.033694695273788176]",27.034868421052625,48.1299085380117,2.4288011695906437,0,0,0,0
"[0.04000453153536657, 0.466886808227268, 0.046809366903941343]",30.15582706766917,48.107329189640765,2.4832497911445284,0,0,0,0
"[0.051912857201708254, 0.4899166860177827, 0.0416983172774604]",31.785902255639094,48.12534669172933,2.46203007518797,0,0,0,0
"[0.0, 0.6316470598709376, 0.0]",24.6797932330827,48.23622992481203,2.288909774436091,0,0,0,0
"[0.01849553025829751, 0.7243497994751648, 0.012365118092411384]",27.211560150375934,48.30875622389306,2.3402464494569766,0,0,0,0
"[0.03662579130219849, 0.8, 0.02205397791583859]",29.69332706766917,48.367941411863,2.3804720133667505,0,0,0,0
