fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.03887289969862997, 0.31902773563735515, 0.028016523603175938]",42.69436090225563,49.35321289891396,2.8720342522974103,0,0,0,0
"[0.052770422094964, 0.12527322473518954, 0.02231514448952555]",47.12377819548872,48.86552309106098,2.8073203842940684,0,0,0,0
"[0.01093483684145343, 0.29563740384521375, 0.006675682886662516]",33.78994360902256,49.29433826232247,2.629803675856308,0,0,0,0
"[0.04285322513107531, 0.0, 0.009741197685223553]",43.96296992481202,48.550204110275665,2.6645989974937345,0,0,0,0
"[0.07263341963564303, 0.315989127384689, 0.0499737793602165]",53.454511278195476,49.345564569757734,3.121261487050962,0,0,0,0
"[0.03608714370808981, 0.11857670308955981, 0.038220492580019]",41.80648496240601,48.848667610693404,2.987855054302423,0,0,0,0
"[0.023931197990080158, 0.5515498468680907, 0.04119584517862238]",37.93214285714286,49.9384826984127,3.0216269841269843,0,0,0,0
"[0.014878007065387262, 0.6031281595814579, 0.006426356803106026]",35.046710526315785,50.06830789473685,2.6269736842105265,0,0,0,0
"[0.003378175148473392, 0.42745944579573236, 0.01582806620481551]",31.381484962406013,49.62614094402673,2.733688387635757,0,0,0,0
"[0.0739530193030155, 0.2873567686139362, 0.0698692648100614]",53.875093984962405,49.2734954887218,3.347086466165414,0,0,0,0
"[0.0, 0.5692890885401634, 0.006009586633913978]",30.304793233082705,49.983133258145365,2.6222431077694246,0,0,0,0
"[0.007750694448540034, 0.3521566093127353, 0.0]",32.7750939849624,49.436599933166235,2.5540309106098578,0,0,0,0
"[0.016948082968170363, 0.29337832794448987, 0.03993357437921494]",35.70648496240601,49.288652055137824,3.007299498746868,0,0,0,0
"[0.06938882630824669, 0.48296449847911616, 0.04758540108378645]",52.4203947368421,49.76584994152046,3.0941520467836257,0,0,0,0
"[0.06442064414156724, 0.44561893581284906, 0.05269980587526335]",50.83693609022556,49.6718492898914,3.152203425229741,0,0,0,0
"[0.07506177790621554, 0.611053958334848, 0.07445557671607199]",54.228477443609016,50.08825752715121,3.3991436925647465,0,0,0,0
"[0.011908834093147512, 0.8, 0.03141140643831717]",34.10037593984962,50.56384417710945,2.910568086883877,0,0,0,0
"[0.05001002600864596, 0.7688860162866821, 0.06452853449624184]",46.24398496240601,50.48552872180451,3.286466165413535,0,0,0,0
"[0.03855590089585337, 0.5237111927992366, 0.03536750296707241]",42.59332706766917,49.868411411862986,2.9554720133667503,0,0,0,0
"[0.1, 0.3754731088040335, 0.1]",62.17678571428571,49.49528873015872,3.6890873015873016,0,0,0,0
"[0.04306288666481875, 0.5170162576602287, 0.0526298841691738]",44.02979323308271,49.85155992481204,3.151409774436091,0,0,0,0
"[0.07521983498369302, 0.20429772031445947, 0.04785496766121097]",54.278853383458646,49.06443170426066,3.097211779448622,0,0,0,0
"[0.05553907489428461, 0.3076265680049828, 0.032994765072267764]",48.0062030075188,49.32451558897242,2.9285401002506264,0,0,0,0
"[0.017117640467329973, 0.48719842994259577, 0.03672729614602587]",35.76052631578948,49.77650695906432,2.970906432748537,0,0,0,0
"[0.029134696477332397, 0.36354696015623633, 0.03754979621502764]",39.5906015037594,49.465270016708445,2.9802422723475352,0,0,0,0
"[0.07078922381000126, 0.3570231320797181, 0.033001205229407624]",52.86672932330827,49.44884921470343,2.9286131996658313,0,0,0,0
"[0.019210127448262847, 0.3342213710109061, 0.017933077567092753]",36.42744360902255,49.391456040100266,2.7575814536340864,0,0,0,0
"[0.014793080874503865, 0.6805226921975133, 0.024554479129290804]",35.019642857142856,50.2631138095238,2.8327380952380956,0,0,0,0
"[0.06771920098608744, 0.7074462240221308, 0.06941845381027295]",51.88825187969924,50.33088168755221,3.3419695071010858,0,0,0,0
"[0.01878077837213004, 0.6713305325738413, 0.03351181768835166]",36.29060150375939,50.239976683375104,2.9344089390142027,0,0,0,0
"[0.03330787513490879, 0.7947425261556538, 0.029806887288049894]",40.92067669172932,50.55061085213032,2.8923558897243113,0,0,0,0
"[0.028742502609711076, 0.5138467991208294, 0.03510253650189073]",39.465601503759395,49.84358223893066,2.9524644945697585,0,0,0,0
