fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.045351521214578694, 0.0, 0.0052955620941706055]",69.40704887218044,6.056424709690898,5.224540517961568,0,0,0,0
"[0.09988132099547592, 0.0, 0.09677849097735254]",95.70733082706766,5.111379786967419,5.433161027568925,0,0,0,0
"[0.09988132099547592, 0.0, 0.09677849097735254]",95.70733082706766,5.111379786967419,5.433161027568925,0,0,0,0
"[0.09988132099547592, 0.0, 0.09677849097735254]",95.70733082706766,5.111379786967419,5.433161027568925,0,0,0,0
"[0.09047694682645202, 0.03169593439539581, 0.07688143393484437]",93.23101503759398,5.1488223893066,5.3902699456975816,0,0,0,0
"[0.09021504992549093, 0.03306295732463912, 0.0771842073392266]",93.16205357142854,5.15043726190476,5.390922619047619,0,0,0,0
"[0.0966295162715162, 0.019404133429901268, 0.08824149206733722]",94.85108082706768,5.13430200918964,5.414758249791148,0,0,0,0
"[0.1, 0.0043993205567137384, 0.1]",95.73858082706766,5.116576731411863,5.44010547201337,0,0,0,0
"[0.09054815422916646, 0.035959576510652236, 0.07881433934843268]",93.24976503759397,5.153859055973267,5.394436612364248,0,0,0,0
"[0.09668885577377823, 0.021187940460915017, 0.08985224657866096]",94.86670582706768,5.136409231411863,5.41823047201337,0,0,0,0
"[0.09673632737558782, 0.022510864051277446, 0.09114085018771928]",94.87920582706766,5.1379720091896415,5.4210082497911465,0,0,0,0
"[0.09673632737558782, 0.022510864051277446, 0.09114085018771928]",94.87920582706766,5.1379720091896415,5.4210082497911465,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09672445947513543, 0.023180085618671797, 0.0908186992854547]",94.87608082706767,5.138762564745195,5.420313805346702,0,0,0,0
"[0.09673632737558782, 0.023767947150116216, 0.09114085018772011]",94.87920582706766,5.13945700918964,5.421008249791148,0,0,0,0
"[0.09673632737558782, 0.023767947150116216, 0.09114085018772011]",94.87920582706766,5.13945700918964,5.421008249791148,0,0,0,0
"[0.09673632737558782, 0.023767947150116216, 0.09114085018772011]",94.87920582706766,5.13945700918964,5.421008249791148,0,0,0,0
"[0.09673632737558782, 0.023767947150116216, 0.09114085018772011]",94.87920582706766,5.13945700918964,5.421008249791148,0,0,0,0
"[0.09676006317649267, 0.023762773968639288, 0.09178515199224968]",94.88545582706767,5.139450898078529,5.422397138680037,0,0,0,0
"[0.09110121623671552, 0.04064840428556452, 0.08270921642242852]",93.39539473684209,5.159397997076024,5.402832602339181,0,0,0,0
"[0.09678379897739747, 0.02611939327589239, 0.09242945379677885]",94.89170582706767,5.1422347869674185,5.423786027568926,0,0,0,0
"[0.09349639055208049, 0.04421071433377485, 0.08292600217996897]",94.02608082706767,5.163606175856309,5.403299916457814,0,0,0,0
"[0.0885543469531619, 0.05709014168609983, 0.07784788664163854]",92.72476503759397,5.1788207226399345,5.392353279030915,0,0,0,0
"[0.09132456476928982, 0.05726617836869294, 0.07712728593920361]",93.45420582706767,5.179028675856307,5.390799916457814,0,0,0,0
"[0.09478999170139296, 0.0471081662499543, 0.09146300108998429]",94.36670582706768,5.167028953634085,5.4217026942355915,0,0,0,0
"[0.0, 0.8, 0.0]",69.40704887218044,6.056424709690898,5.224540517961568,0,0,0,0
