fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.055766093207333826, 0.5486438959398044, 0.06745907497532601]",47.59797932330825,7.423040881370098,5.882779866332502,0,0,0,0
"[0.01034892173491641, 0.39841727476217814, 0.014559439131468661]",44.95554511278194,7.3399849456975765,5.720462614870505,0,0,0,0
"[0.054779904692674325, 0.3391073002292842, 0.033362828846610015]",47.54060150375938,7.307194183375109,5.778158939014198,0,0,0,0
"[0.020419190695420433, 0.5590274329915025, 0.03579365619576028]",45.54144736842104,7.428781637426905,5.785617690058484,0,0,0,0
"[0.0384645828285275, 0.8, 0.1]",46.591353383458625,7.562008370927325,5.982628446115293,0,0,0,0
"[0.035317421856069696, 0.5220723519651206, 0.055496375455195014]",46.408247180451106,7.408350246449464,5.846073517126151,0,0,0,0
"[0.02263710524190292, 0.7461942021325163, 0.08537930095633262]",45.670488721804496,7.532260708020053,5.937766290726813,0,0,0,0
"[0.05291293110411113, 0.4994953777839924, 0.0675228873838583]",47.43197838345863,7.395868093149545,5.8829756683375045,0,0,0,0
"[0.05613561101688071, 0.575723232053709, 0.08110216792022365]",47.61947838345863,7.438012259816211,5.924642335004174,0,0,0,0
"[0.09323883369679366, 0.264187144824762, 0.03920294047578396]",49.77819548872179,7.26577300543025,5.796078738512947,0,0,0,0
"[0.039353040949842565, 0.5578954176646754, 0.062086921008745334]",46.64304511278194,7.428155779030915,5.866295948203843,0,0,0,0
"[0.023107584201599224, 0.4413651454480776, 0.026663376782493364]",45.69786184210525,7.363729576023397,5.757602339181289,0,0,0,0
"[0.016269687424279214, 0.6645358014353274, 0.059480822244155344]",45.30002349624059,7.487114149958233,5.858299394319136,0,0,0,0
"[0.054887327356433216, 0.3429624292889996, 0.033815471531155564]",47.54685150375938,7.309325572263996,5.779547827903087,0,0,0,0
"[0.02017809546886358, 0.7444609544152847, 0.07464775550488341]",45.52742011278194,7.53130244569758,5.904837614870512,0,0,0,0
"[0.019260560536305666, 0.6100271636401052, 0.06073750127624605]",45.474036654135325,7.456977907268173,5.862155388471175,0,0,0,0
"[0.0298170583959292, 0.5875669642737953, 0.06356226389408569]",46.08822838345863,7.444560315371763,5.870822890559728,0,0,0,0
"[0.07905904208060761, 0.4483319840894144, 0.05414014906578451]",48.953195488721796,7.367581338763581,5.84191207184628,0,0,0,0
"[0.0365600516921089, 0.49419861694356293, 0.050318211210562486]",46.48054511278194,7.392939667919803,5.83018483709273,0,0,0,0
"[0.03191180033922947, 0.6406595223343582, 0.0723887962427229]",46.21010338345863,7.4739136487051,5.897906223893062,0,0,0,0
"[0.038386236976011595, 0.5385373741951186, 0.058013136847836544]",46.586795112781935,7.417453279030916,5.853795948203844,0,0,0,0
"[0.040899765770131685, 0.2580201486892814, 0.004447299458870259]",46.7330357142857,7.262363452380957,5.689434523809523,0,0,0,0
"[0.02556659397463856, 0.5626455785348496, 0.05606643297144397]",45.840930451127804,7.430782005012532,5.847822681704257,0,0,0,0
"[0.03820612228414508, 0.5403565786325958, 0.06803849164482498]",46.57631578947367,7.418459064327489,5.884557748538004,0,0,0,0
"[0.03484128907196511, 0.45062656462426287, 0.04307592825783542]",46.38054511278194,7.368849945697584,5.80796261487051,0,0,0,0
"[0.05374767789354662, 0.3893831192007627, 0.04805499778783531]",47.48054511278194,7.3349902234753594,5.8232403926482865,0,0,0,0
"[0.1, 0.0, 0.0]",50.17156954887216,7.119711606098582,5.675788429406851,0,0,0,0
"[0.0, 0.5999603941397414, 0.041695027737125724]",44.35343045112781,7.451412282790313,5.803725459482037,0,0,0,0
"[0.063666908973427, 0.2836871600557715, 0.03778034918149832]",48.05765977443607,7.276553997493734,5.791713659147868,0,0,0,0
"[0.03481221226072201, 0.7120324160796234, 0.08461014872545247]",46.378853383458626,7.5133736487050955,5.935406223893067,0,0,0,0
"[0.014734270252806667, 0.6192739292996409, 0.062493618759146545]",45.21069078947367,7.4620901754386,5.8675438596491265,0,0,0,0
"[0.030759227849123702, 0.3658820555009851, 0.02587550624510654]",46.14304511278194,7.321997167919802,5.75518483709273,0,0,0,0
"[0.07599276651425368, 0.0, 0.0]",47.84584116541351,7.196848790726821,5.6862155388471205,0,0,0,0
