fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.04598565947554514, 0.14971266105132874, 0.026576040654098916]",62.88179041353383,6.30715489348371,5.410330513784463,0,0,0,0
"[0.03880178229091534, 0.6016938327458027, 0.05395450434051574]",60.88576127819549,6.856310958646614,5.600775375939852,0,0,0,0
"[0.011775162089870587, 0.4661448333881632, 0.01021269089448818]",53.37645676691729,6.691619241854641,5.296506892230578,0,0,0,0
"[0.05802635551274696, 0.22520264397011835, 0.02222163839920757]",66.22727913533834,6.398875045948203,5.380041248955724,0,0,0,0
"[0.02261427473292269, 0.7597723370407024, 0.07518531168017109]",56.38808740601501,7.048375971177944,5.7484570802005,0,0,0,0
"[0.03364162895774552, 0.2434479149966435, 0.005752825182121626]",59.45202067669174,6.421043007518802,5.26548402255639,0,0,0,0
"[0.029549615525448627, 0.35615197688220085, 0.0]",58.31506109022557,6.557978178780286,5.225467314118628,0,0,0,0
"[0.045438777934974715, 0.4509612966578878, 0.05588287175868711]",62.72984022556391,6.673171280284041,5.614189118629906,0,0,0,0
"[0.08977838063192006, 0.0126985850055339, 0.032925616360722575]",75.04953007518793,6.140683111946533,5.454498224728488,0,0,0,0
"[0.0413023679032036, 0.22094695197659978, 0.020495190340898396]",61.58054511278194,6.393704390142023,5.368032059314953,0,0,0,0
"[0.009478378010406538, 0.4788619782033835, 0.026672121241691257]",52.73829887218044,6.707070543024226,5.410998851294902,0,0,0,0
"[0.09108431717607192, 0.01804452529200893, 0.04218688424916399]",75.41238251879697,6.14717841687552,5.518919695071012,0,0,0,0
"[0.05130065123469055, 0.1329944049423622, 0.01792390867840375]",64.35855263157892,6.2868422514619935,5.350146198830407,0,0,0,0
"[0.0, 0.5408677892399222, 0.014221803537717024]",50.1047462406015,6.78240745822891,5.324394319131159,0,0,0,0
"[0.028836732985320385, 0.40890723806642887, 0.017919404900860404]",58.116987781954876,6.622075697577276,5.350114870509605,0,0,0,0
"[0.03239666374353821, 0.16106584808228264, 0.015436322215258131]",59.10610902255638,6.3209489891395165,5.332842522974102,0,0,0,0
"[0.05190334564317153, 0.0983983867920699, 0.010854479194424472]",64.52601033834587,6.244808170426066,5.300971177944862,0,0,0,0
"[0.013508489898293705, 0.4068237537450179, 0.017277616600924108]",53.8580592105263,6.619544269005848,5.3456505847953215,0,0,0,0
"[0.06903358327914137, 0.22808208404591315, 0.04005697278592368]",69.28562030075187,6.402373558897244,5.50410401002506,0,0,0,0
"[0.026125073254389064, 0.6440009197995574, 0.05906441527831472]",57.363557330827035,6.907713970342529,5.636319966583127,0,0,0,0
"[0.07973798395464625, 0.04191163951275037, 0.027444143775591557]",72.25982142857143,6.176176904761904,5.416369047619046,0,0,0,0
"[0.04194886695649905, 0.8, 0.1]",61.76017387218046,7.097252487468673,5.921068295739353,0,0,0,0
"[0.019896357195589492, 0.41190020635110924, 0.011865952567715892]",55.63291823308271,6.625712147034253,5.308006996658309,0,0,0,0
"[0.0647781057958282, 0.0, 0.02052408958013514]",68.10324248120301,6.125254360902254,5.368233082706765,0,0,0,0
"[0.0036396755073685445, 0.4196892584282719, 0.013876513926055035]",51.116024436090214,6.635175827067666,5.3219924812030035,0,0,0,0
"[0.010447238658360128, 0.46738752927976235, 0.008958764163442386]",53.00749530075187,6.693129114452799,5.287784565580619,0,0,0,0
"[0.0020450342192075096, 0.5245612611162912, 0.0010561358339311639]",50.672955827067646,6.762595064745195,5.2328138053467015,0,0,0,0
"[0.005303998315466172, 0.5235937066250038, 0.015937742781758513]",51.578453947368416,6.761419488304092,5.3363304093567265,0,0,0,0
"[0.020084767907262723, 0.33741674888271733, 0.006236605953243254]",55.685267857142854,6.53521492063492,5.268849206349205,0,0,0,0
"[0.033278676186425125, 0.3475544634828509, 0.030437654582781293]",59.35117481203006,6.547532220133664,5.43719193817878,0,0,0,0
"[0.06140709313899187, 0.22553421943102725, 0.023338575229974456]",67.16661184210525,6.3992779093567265,5.387810672514622,0,0,0,0
"[0.1, 0.09236847875546023, 0.04142874836268901]",77.88959116541349,6.237481846282376,5.513646094402673,0,0,0,0
