fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",38.27568139097744,10.494130904344193,8.218112990810363,0,0,0,0
"[0.03558307547514746, 0.0, 0.0]",38.63987312030075,10.077064423558895,7.884766604010018,0,0,0,0
"[0.0, 0.1139550474847986, 0.005328634416929729]",37.40507518796992,10.201240002088554,7.928780284043444,0,0,0,0
"[0.008387105510830028, 0.1269317139184036, 0.009290263444853746]",37.69612312030075,10.215380534670002,7.9615027151211315,0,0,0,0
"[0.033560609651231255, 0.1738384828046562, 0.01731782480206101]",38.569689849624055,10.266494331662491,8.027809106098577,0,0,0,0
"[0.06000704172901538, 0.2067613751268815, 0.022665107384990432]",39.487429511278194,10.302370050125312,8.071976817042607,0,0,0,0
"[0.019755435334583894, 0.3083292857040394, 0.035516222324067086]",38.090625,10.413047500000006,8.178124999999996,0,0,0,0
"[0.05751467591119285, 0.35002608886603126, 0.03968171689555519]",39.40093984962405,10.458484053884716,8.212531328320805,0,0,0,0
"[0.06021626233148928, 0.36766949972327445, 0.04220396036474603]",39.49468984962405,10.477709887218047,8.233364661654138,0,0,0,0
"[0.013962936130163786, 0.4371577144598455, 0.04544558054269452]",37.889614661654136,10.553430440685045,8.260139933166258,0,0,0,0
"[0.062177790115849986, 0.41657176001666096, 0.05110893373579753]",39.56275845864661,10.530998149540515,8.30691833751045,0,0,0,0
"[0.034994007759443696, 0.4560730653176645, 0.04960570191380781]",38.61943139097744,10.57404229323308,8.294501879699249,0,0,0,0
"[0.03814585858312287, 0.4730210688840978, 0.05254831929453038]",38.72880639097744,10.59251034878863,8.318807435254802,0,0,0,0
"[0.022517959794435813, 0.49438937761261564, 0.053432684861798134]",38.186489661654136,10.615795162907268,8.32611215538847,0,0,0,0
"[0.051510247746985295, 0.4662020375154258, 0.05341940989617057]",39.19257518796992,10.585079724310766,8.326002506265661,0,0,0,0
"[0.1, 0.4200085199487121, 0.05867566414337069]",40.87525845864661,10.53474314954051,8.369418337510451,0,0,0,0
"[0.04012702195800696, 0.4870505540955442, 0.05439796450527062]",38.79755639097744,10.607798126566417,8.334085213032582,0,0,0,0
"[0.03669282488438705, 0.49048172698745396, 0.055060448504195364]",38.678383458646614,10.611537038429404,8.339557226399327,0,0,0,0
"[0.038403829617241335, 0.506396306376133, 0.05665786936801801]",38.73775845864661,10.628878982873848,8.352751670843785,0,0,0,0
"[0.024396882680732094, 0.5402842405714215, 0.05905558101679941]",38.251691729323305,10.665806296992482,8.372556390977445,0,0,0,0
"[0.06411020305908974, 0.4985078005250569, 0.06145171231253016]",39.62981672932331,10.620282963659143,8.392348057644107,0,0,0,0
"[0.05754379075231382, 0.5082693352299789, 0.0590524203106975]",39.401950187969916,10.630920002088553,8.372530284043442,0,0,0,0
"[0.06304920408149449, 0.5142304943137859, 0.06032365630481921]",39.59299812030075,10.63741581244779,8.38303049289892,0,0,0,0
"[0.0674617952346454, 0.5487360024848921, 0.06444332063783012]",39.74612312030075,10.675016090225556,8.417058270676689,0,0,0,0
"[0.09353582818181191, 0.6057483546663858, 0.0733116298181015]",40.65093984962405,10.737141831662486,8.490309106098582,0,0,0,0
"[0.06074913163293645, 0.6398558547476452, 0.07365108965342936]",39.513181390977444,10.77430840434419,8.493112990810367,0,0,0,0
"[0.02560887257855949, 0.6769593883346733, 0.07566193087535744]",38.29375,10.81473972222222,8.509722222222223,0,0,0,0
"[0.06154741995111412, 0.6672010851047765, 0.07826508842075408]",39.54088345864661,10.804106205096074,8.531223893066008,0,0,0,0
"[0.044928939474984914, 0.6885061749886712, 0.07822463138265129]",38.9641917293233,10.827322130325818,8.530889724310782,0,0,0,0
"[0.045559309639720796, 0.6894317702499975, 0.0788131548587961]",38.986066729323305,10.828330741436922,8.535750835421895,0,0,0,0
"[0.04763052589528135, 0.6989824042519635, 0.08074687485184212]",39.0579417293233,10.838737963659153,8.551723057644114,0,0,0,0
"[0.07371674645035918, 0.7196354875095319, 0.08575785830554646]",39.96318139097744,10.86124340434419,8.59311299081037,0,0,0,0
"[0.09797008619347157, 0.8, 0.1]",40.804816729323306,10.94881574143693,8.710750835421893,0,0,0,0
