fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.07315962483251447, 0.45032368347539675, 0.07048680323734959]",61.691893796992474,6.986679375522135,5.644695071010862,0,0,0,0
"[0.059443054935238895, 0.24441081771127393, 0.02227318939776002]",58.083881578947356,6.760024239766084,5.330226608187132,0,0,0,0
"[0.02880410897722202, 0.2750739033746741, 0.0]",50.02460056390978,6.793776117376775,5.184951963241434,0,0,0,0
"[0.013058329611433753, 0.5469701743867735, 0.02607411321117207]",45.88282424812031,7.093061380534668,5.355017752715119,0,0,0,0
"[0.09388217954443938, 0.3033849569496439, 0.0651304466165528]",67.14276315789472,6.824939035087717,5.609758771929822,0,0,0,0
"[0.037780259044216224, 0.48841669535330845, 0.04247460313648224]",52.38569078947369,7.028609619883045,5.461988304093564,0,0,0,0
"[0.1, 0.28432401637797067, 0.06729108127796797]",68.75199718045114,6.803958024227232,5.623851294903924,0,0,0,0
"[0.06832085752568104, 0.10428322276822546, 0.010587029787779895]",60.419102443609006,6.605781138262325,5.254004803675859,0,0,0,0
"[0.06225538186690474, 0.5592734678880159, 0.07564783015922587]",58.82363721804508,7.106604024644945,5.678357351712617,0,0,0,0
"[0.07571907101384545, 0.0, 0.005237877950959017]",62.36513157894737,6.490993128654967,5.219115497076018,0,0,0,0
"[0.03887932112550253, 0.37274251617895376, 0.02476604465365013]",52.6747885338346,6.901283205931493,5.346486006683374,0,0,0,0
"[0.05653782938811966, 0.19401646288124508, 0.01583371358582179]",57.31968984962405,6.704553498329155,5.28822577276525,0,0,0,0
"[0.0056435908887896525, 0.4701352704866583, 0.009228527742421675]",43.932448308270665,7.008486647869673,5.2451441102756915,0,0,0,0
"[0.017985797230906715, 0.37127514919305266, 0.0065435449138226826]",47.178947368421056,6.899668026315789,5.227631578947365,0,0,0,0
"[0.05061920500223297, 0.23381985587852094, 0.014845857649480144]",55.76285244360898,6.748366416040103,5.281782581453638,0,0,0,0
"[0.07495694506476105, 0.247689491554174, 0.04005139412569951]",62.164661654135344,6.763633185045946,5.4461831662489555,0,0,0,0
"[0.01727994640464497, 0.5591835566811658, 0.033287703034815055]",46.99328007518797,7.106505056390975,5.402067669172931,0,0,0,0
"[0.07268217954443942, 0.24938123999614092, 0.03681244346245943]",61.56630639097743,6.765495348788635,5.425057435254805,0,0,0,0
"[0.03715104957570347, 0.38616684794155526, 0.026424746031364743]",52.22018327067669,6.916059814118628,5.357304720133666,0,0,0,0
"[0.06093916927199627, 0.3269922708068054, 0.03813091893016918]",58.477420112781914,6.8509243901420245,5.4336570593149505,0,0,0,0
"[0.02907369361322015, 0.43833741492378425, 0.022625423281058578]",50.095512218045094,6.973485691311619,5.33252401837928,0,0,0,0
"[0.0552711031710585, 0.527748042181391, 0.06327241288215311]",56.98648966165413,7.071902940685055,5.597639933166246,0,0,0,0
"[0.0500758374274229, 0.8, 0.1]",55.61992481203006,7.371579720133671,5.837191938178783,0,0,0,0
"[0.032459937472085705, 0.6604423334999729, 0.060934060215983736]",50.9862312030075,7.217963957811195,5.582388262322476,0,0,0,0
"[0.08906065207682011, 0.1900061737346388, 0.043354387313175834]",65.8745065789474,6.700139239766087,5.467726608187133,0,0,0,0
"[0.08077766860205453, 0.3129789054658688, 0.057921659982227994]",63.69574718045114,6.835499413116123,5.5627401837928145,0,0,0,0
"[0.06022590442161672, 0.3496590556828171, 0.04214958732598445]",58.28980263157893,6.87587447368421,5.459868421052631,0,0,0,0
"[0.034435462259937495, 0.4429286660184173, 0.032095711552470436]",51.505874060150376,6.978539434001676,5.394293024227231,0,0,0,0
"[0.060888432335864134, 0.383761541954617, 0.04747472321621564]",58.464074248120276,6.913412213868002,5.494601086048455,0,0,0,0
"[0.029294685127288986, 0.404139298617259, 0.02093149851501394]",50.15364191729323,6.935842687969925,5.321475563909773,0,0,0,0
"[0.0, 0.774959933814147, 0.05051193992811196]",42.44795582706765,7.344017286967419,5.51441102756892,0,0,0,0
"[0.07208280482358197, 0.4954070440723044, 0.07492174804069857]",61.40864661654136,7.03630412907268,5.67362155388471,0,0,0,0
