fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.03246952501050845, 0.23550977759148278, 0.03725077927424585]",53.68291823308268,6.248864647034248,5.0205069966583125,0,0,0,0
"[0.05677625653035484, 0.27809636363763957, 0.04155443157089772]",55.58507988721803,6.268871165413532,5.028148496240599,0,0,0,0
"[0.010840989611481281, 0.4415055210539569, 0.03257954478621434]",51.99034304511276,6.345638256056804,5.0122128237259815,0,0,0,0
"[0.1, 0.0, 0.05301858495559713]",58.967622180451116,6.138225802005009,5.048504072681706,0,0,0,0
"[0.08038641686182665, 0.14833179359585666, 0.04327030524025171]",57.43273026315788,6.207909780701758,5.031195175438596,0,0,0,0
"[0.056953401789467645, 0.1837732774637719, 0.01854378639063695]",55.59894266917294,6.224559640768589,4.987291144527986,0,0,0,0
"[0.0017186092595928263, 0.8, 0.1]",51.27645676691728,6.514053408521299,5.1319235588972445,0,0,0,0
"[0.027094517504353533, 0.5034427956818176, 0.05383755807798636]",53.26228853383457,6.374735428153718,5.049958228905598,0,0,0,0
"[0.01925238695730494, 0.5269512500782363, 0.06322119625948112]",52.64859022556389,6.385779335839597,5.06661967418546,0,0,0,0
"[0.037144958866270415, 0.24974641039771273, 0.03586719990589923]",54.04880169172932,6.255552796574769,5.0180503341687555,0,0,0,0
"[0.034473368161892746, 0.3992092750269972, 0.06221402105510659]",53.83973214285713,6.325768134920634,5.064831349206347,0,0,0,0
"[0.014761604515702981, 0.5233093138285757, 0.044049579485971706]",52.297156954887214,6.384068410609854,5.032578842940683,0,0,0,0
"[0.006092896174863161, 0.34712727174354774, 0.00632241369170091]",51.61877349624057,6.301300816624893,4.965591060985796,0,0,0,0
"[0.013681018435116828, 0.28216357352649424, 0.016042757160501506]",52.212593984962396,6.270781877610691,4.982850355054302,0,0,0,0
"[0.028985167837626814, 0.38091985441565074, 0.024407457507497805]",53.41024436090224,6.317176048454469,4.997702589807851,0,0,0,0
"[0.036952801297063645, 0.349923248751303, 0.03636711168617453]",54.03376409774435,6.302614323308267,5.0189379699248144,0,0,0,0
"[0.054373986669068675, 0.31234330863384885, 0.03608921954949131]",55.397086466165405,6.284959849624057,5.01844454887218,0,0,0,0
"[0.03783492463820334, 0.28094497858355905, 0.035942186672939754]",54.10279605263157,6.270209400584796,5.018183479532163,0,0,0,0
"[0.034471866930883346, 0.3476876034843723, 0.027109921778510456]",53.839614661654124,6.301564051796155,5.002501044277361,0,0,0,0
"[0.040818771392541885, 0.24093326797604894, 0.039582720696347884]",54.33630169172931,6.251412518796992,5.024647556390978,0,0,0,0
"[0.031397946315979364, 0.3408480725395289, 0.02920366994059751]",53.59906015037595,6.298350946115287,5.006218671679195,0,0,0,0
"[0.054246081787065484, 0.4183059722197824, 0.06183173557607305]",55.38707706766917,6.334739467418547,5.064152568922303,0,0,0,0
"[0.0, 0.5795793764158204, 0.05687819796506434]",51.14196428571427,6.410503214285711,5.055357142857142,0,0,0,0
"[0.03561520446766348, 0.29306974085562926, 0.021788801976122117]",53.92908834586465,6.27590542606516,4.993052944862155,0,0,0,0
"[0.07128865669849291, 0.2078706854798943, 0.06805710756925108]",56.72077067669173,6.235880229741021,5.075206244778611,0,0,0,0
"[0.007499849876899058, 0.40680719684651595, 0.022351937893314]",51.728876879699236,6.329337520885543,4.994052840434421,0,0,0,0
"[0.020779138893892785, 0.3021550000778673, 0.015891313297654478]",52.76806860902253,6.280173540100252,4.982581453634086,0,0,0,0
"[0.06619317840629309, 0.09671559160735628, 0.031648826677644314]",56.32201597744359,6.183661288638259,5.010560254803674,0,0,0,0
"[0.022073200024019635, 0.4228638619426076, 0.039107804505086434]",52.86933740601502,6.336880693400166,5.023804302422722,0,0,0,0
"[0.0353638983966854, 0.3350886196255393, 0.023120919837675065]",53.9094219924812,6.295645244360902,4.995418233082705,0,0,0,0
"[0.040058247763165876, 0.1425189736371282, 0.0]",54.27678571428571,6.2051790079365094,4.954365079365078,0,0,0,0
"[0.06072629556236136, 0.21069705822946816, 0.02181820855143193]",55.89419642857143,6.237208015873015,4.993105158730158,0,0,0,0
"[0.015327396305420802, 0.4779318498924173, 0.0]",50.408200187969925,6.333011668755217,4.96419695071011,0,0,0,0
