fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.03293588951285692, 0.021970917650094818, 0.0]",70.34626409774435,5.901293489974938,5.201229636591479,0,0,0,0
"[0.051729313872325614, 0.05439228733271089, 0.00944811734930747]",69.80411184210527,5.8173665204678375,5.145796783625729,0,0,0,0
"[0.09719891609298087, 0.0, 0.06273952791694543]",76.27398966165413,5.798953218462824,5.253542710944028,0,0,0,0
"[0.07485563593670258, 0.07390072867682228, 0.04910257734620979]",73.09476033834584,5.823970670426065,5.225971177944862,0,0,0,0
"[0.04765409429198433, 0.19702167413939609, 0.00639688032642819]",69.22424812030073,5.865650534670013,5.139627715121137,0,0,0,0
"[0.04132618434675772, 0.22113426920814275, 0.013379990702957796]",68.32384868421052,5.873813318713449,5.15374634502924,0,0,0,0
"[0.0742256686487656, 0.22954153828373092, 0.056469190640978544]",73.00512218045112,5.876659413116122,5.240865183792817,0,0,0,0
"[0.07617551235412935, 0.23369247276616553, 0.05146041010278182]",73.28256578947371,5.87806461988304,5.230738304093566,0,0,0,0
"[0.047402933022009965, 0.30919240936275916, 0.02420071277309868]",69.18851033834585,5.903623448203842,5.17562395572264,0,0,0,0
"[0.0462949171630171, 0.3157195351731089, 0.033794742007126004]",69.03085056390978,5.90583306182122,5.195021407685881,0,0,0,0
"[0.0406519624760768, 0.33085904198137683, 0.025245338567219312]",68.22791353383457,5.910958205931494,5.1777360066833715,0,0,0,0
"[0.03359566833502028, 0.36354415059809253, 0.003230721553636136]",67.22387218045111,5.9220230242272365,5.133226294903925,0,0,0,0
"[0.03705660788623275, 0.3553414011707377, 0.02235809100769401]",67.71632988721805,5.919246165413533,5.171898496240601,0,0,0,0
"[0.06721577576797383, 0.29757176335722596, 0.0554981664170206]",72.00768327067668,5.899689536340853,5.238901942355886,0,0,0,0
"[0.1, 0.23399576645869838, 0.1]",76.67255639097743,5.878167293233081,5.3288768796992505,0,0,0,0
"[0.05572031764222155, 0.34164689508441637, 0.041668818759359565]",70.37199248120301,5.914610194235588,5.210941416040099,0,0,0,0
"[0.0391923868907357, 0.39344184457967646, 0.02420846030680034]",68.02023026315788,5.9321442251462,5.17563961988304,0,0,0,0
"[0.05674890643293217, 0.3621255369209562, 0.04787717576571054]",70.51835056390979,5.921542784043444,5.2234936299080985,0,0,0,0
"[0.029183090125778854, 0.43817312346069237, 0.013865502814932816]",66.59600563909775,5.947287007101084,5.154727965747697,0,0,0,0
"[0.07298224697690024, 0.3680849988593682, 0.08240405970765824]",72.82819548872182,5.923560227652464,5.293300960735171,0,0,0,0
"[0.06381164060655194, 0.4031375195744447, 0.05893290635814166]",71.52330827067668,5.9354264807852966,5.245846386800335,0,0,0,0
"[0.03599879125542652, 0.5256953049159985, 0.01654485822013115]",67.5658129699248,5.976915699665829,5.160145154553049,0,0,0,0
"[0.05221892147618772, 0.4627254326884249, 0.07044703269459156]",69.87377819548874,5.955598646616543,5.2691259398496255,0,0,0,0
"[0.03074388981269416, 0.5280635375607737, 0.030372914622177005]",66.81809210526316,5.977717412280701,5.188103070175439,0,0,0,0
"[0.02485885595298443, 0.5969686748622215, 0.018095656216104476]",65.98070958646616,6.001043717627406,5.163280597326653,0,0,0,0
"[0.028569140354730117, 0.5879159812617061, 0.024755952688393465]",66.50864661654134,5.9979791290726805,5.176746553884714,0,0,0,0
"[0.056980912734256255, 0.5315375891265508, 0.07323743608284393]",70.5513627819549,5.978893475355055,5.274767648287382,0,0,0,0
"[0.0, 0.6634338835058373, 0.0]",62.44353853383459,6.023544039264829,5.126694340016712,0,0,0,0
"[0.03845871856562294, 0.6492383628917859, 0.06014926914931924]",67.91583646616539,6.0187384607351735,5.248305659983291,0,0,0,0
"[0.04495951861582235, 0.6280526753464226, 0.07680775786374666]",68.84083646616541,6.011566516290726,5.28198621553885,0,0,0,0
"[0.03302564288863521, 0.7457880107728799, 0.043144723929547546]",67.14276315789472,6.051423201754387,5.213925438596491,0,0,0,0
"[0.02327675461989764, 0.8, 0.019210009813540475]",65.75559210526315,6.0697754678362585,5.165533625730993,0,0,0,0
"[0.014728354472602782, 0.7894714580684601, 0.04068229946800181]",64.53923872180454,6.066211263575606,5.208946846282374,0,0,0,0
